asset,q,c,log_likelihood,delta_ll_vs_zero,ks_statistic,pit_ks_pvalue,calibration_warning,mean_drift_var,mean_posterior_unc,n_obs,fallback_reason,timestamp
PLNJPY=X,1.090942466129516e-09,0.8663037321423125,10387.574907641227,-4.892900147517139,0.02665184601786641,0.0343573304529029,True,2.0447378868898174e-07,3.5011121749025766e-07,2848,,2026-01-09T14:46:10Z
GC=F,1.0191035708414096e-08,0.8670009495777758,9307.187547990343,7.437898887805204,0.03302091269033511,0.00485893373259869,True,1.312928277052585e-06,9.246434645598383e-07,2750,,2026-01-09T14:46:39Z
SI=F,2.861108937586564e-08,0.8129937282307766,7612.87606401879,-3.96459514635535,0.0342629690891722,0.0030653407637749753,True,2.03608332122435e-06,2.7316448846500364e-06,2750,,2026-01-09T14:47:10Z
BTC-USD,4.5342669607693625e-08,0.6548802178876368,8774.139455019107,28.86627056927682,0.029804719519314682,0.001588494400700948,True,1.3086317031177553e-05,5.339484550571695e-06,4006,,2026-01-09T14:48:13Z
MSTR,1.1177410455319395e-07,0.8079962934928129,6001.273825426973,-12.474840738804232,0.02356610658732239,0.09269938425916058,False,8.241666648228299e-06,9.570632900624814e-06,2751,,2026-01-09T14:48:45Z
SPY,2.3495621524196677e-09,0.8695280031609859,9434.363459035385,6.438922809678843,0.028336221530869177,0.023660149689639982,True,5.739530139424813e-07,4.728796989100847e-07,2751,,2026-01-09T14:49:16Z
VOO,2.341020651471867e-09,0.8684815244232774,9440.120836233771,6.689067577006426,0.026638716001205376,0.0395868192966925,True,5.813948909161909e-07,4.696911643768265e-07,2751,,2026-01-09T14:49:46Z
GLD,1.4017370445979062e-08,0.8907102063951544,9391.407471501794,7.512598388058905,0.01884834264419405,0.2789311071073748,False,1.3746377129513837e-06,1.0495135532765336e-06,2751,,2026-01-09T14:50:15Z
SLV,3.937495824251544e-08,0.8954578597079352,7815.987192974757,-4.644033597542148,0.027268259949681017,0.03282905668541769,True,2.226268408774018e-06,3.0270602965331816e-06,2751,,2026-01-09T14:50:44Z
AAPL,1.9063571823002742e-08,0.8672889654050021,7758.557862701617,0.46043402772374975,0.021945483933480947,0.13922309431117297,False,2.395813932355414e-06,2.1829108250026653e-06,2751,,2026-01-09T14:51:12Z
ACN,1.0712059963618884e-08,0.8116971438480952,8175.647731683214,1.546111741105051,0.01933840632687789,0.2517395968299282,False,1.0979221345075611e-06,1.3380805398225164e-06,2751,,2026-01-09T14:51:44Z
ADBE,1.2888207221487794e-08,0.7726780578984859,7438.714652737329,4.133721389131097,0.030720579220157584,0.010883114698605697,True,1.9335075232879506e-06,1.7800729801153379e-06,2751,,2026-01-09T14:52:14Z
AMD,2.7155182961645312e-08,0.8159756438715177,5689.249013892003,-1.4318866687799527,0.021089457722401894,0.170710137607878,False,4.516971611103748e-06,5.260142721788214e-06,2750,,2026-01-09T14:52:43Z
AVGO,1.2393873123400512e-08,0.8497686681378416,6934.1894069457985,-1.3096457114634177,0.018487080155683733,0.30028612026627466,False,2.1502026909810717e-06,2.3745597661756548e-06,2751,,2026-01-09T14:53:13Z
CRM,1.5046430265712557e-08,0.7924050675350421,7299.883924946246,-2.5940151572631294,0.01538218599295993,0.5280403900679513,False,1.5576590560983236e-06,2.226352541960375e-06,2751,,2026-01-09T14:53:42Z
CSCO,7.354192771038795e-09,0.749743080305802,8225.703413972393,-2.7378379053479875,0.02034994278117619,0.20190345180459734,False,7.595350586050736e-07,1.1914848475049734e-06,2751,,2026-01-09T14:54:12Z
IBM,8.418498009774098e-09,0.7327464569025481,8283.292341404242,-3.0929866509250132,0.0215674953157049,0.15243368414666914,False,9.781713634931409e-07,1.1125083669957357e-06,2751,,2026-01-09T14:54:43Z
INTC,8.561368171831166e-09,0.7386673201979658,7107.601127833559,-2.761432877331572,0.013387915230442471,0.7023221784747369,False,9.733803065422677e-07,1.6940108376912035e-06,2751,,2026-01-09T14:55:13Z
INTU,1.26049740311835e-08,0.8590250667231148,7627.597852518421,0.0710541698626912,0.022722353745473656,0.11497956072945315,False,1.7120995616296173e-06,1.8174358229894178e-06,2751,,2026-01-09T14:55:42Z
MSFT,8.800457808247344e-09,0.8721359639110872,7993.584414447437,3.904519506025281,0.026283286504066194,0.04391461594669588,True,1.6039964561833823e-06,1.5539684702629538e-06,2751,,2026-01-09T14:56:12Z
NOW,2.430016421515329e-08,0.7968507934695721,6826.886009807317,1.4867606363422965,0.022094540195251255,0.13427507642740089,False,2.7142444227707523e-06,3.163229358435435e-06,2751,,2026-01-09T14:56:41Z
NVDA,2.4198597229571308e-08,0.8741842047097468,6270.217685598673,4.147927060362235,0.021187726182597205,0.16684918204796528,False,5.640264387235484e-06,3.905665491983937e-06,2750,,2026-01-09T14:57:13Z
ORCL,9.130240807003375e-09,0.6683669281211422,7805.005444274248,-2.4587829802976557,0.02674198078260026,0.03840132327318535,True,9.704009296513145e-07,1.216819162301883e-06,2751,,2026-01-09T14:57:43Z
