Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,52.49,52.62,51.37,51.68,5951300
2019-09-20 04:00:00+00:00,51.9,52.02,50.87,50.96,11287300
2019-09-23 04:00:00+00:00,50.85,51.97,50.8,51.76,4511200
2019-09-24 04:00:00+00:00,52.02,52.58,50.87,51.16,7074000
2019-09-25 04:00:00+00:00,50.65,52.12,50.5,51.93,5381400
2019-09-26 04:00:00+00:00,52.17,52.46,51.81,52.15,4848600
2019-09-27 04:00:00+00:00,51.12,51.46,49.15,49.43,11206000
2019-09-30 04:00:00+00:00,49.75,50.22,49.26,49.9,6674800
2019-10-01 04:00:00+00:00,50.41,51.0,49.78,50.02,7727000
2019-10-02 04:00:00+00:00,49.37,49.88,49.21,49.46,6426000
2019-10-03 04:00:00+00:00,49.42,49.77,48.78,49.64,6519300
2019-10-04 04:00:00+00:00,50.01,50.9,49.89,50.88,4596700
2019-10-07 04:00:00+00:00,50.82,51.11,50.58,50.65,5257200
2019-10-08 04:00:00+00:00,50.15,50.28,49.08,49.31,5706200
2019-10-09 04:00:00+00:00,50.12,51.17,50.0,50.84,6279400
2019-10-10 04:00:00+00:00,50.67,51.6,50.64,51.01,5330200
2019-10-11 04:00:00+00:00,52.16,52.39,51.71,51.75,6801000
2019-10-14 04:00:00+00:00,51.81,52.13,51.79,51.94,3395600
2019-10-15 04:00:00+00:00,52.07,53.14,51.88,52.91,8052200
2019-10-16 04:00:00+00:00,51.88,52.8,51.35,51.56,8383000
2019-10-17 04:00:00+00:00,52.46,53.25,51.84,52.14,5150400
2019-10-18 04:00:00+00:00,52.22,52.41,51.04,51.68,6419100
2019-10-21 04:00:00+00:00,52.19,52.71,51.99,52.64,5738200
2019-10-22 04:00:00+00:00,52.65,52.71,51.94,51.98,4442600
2019-10-23 04:00:00+00:00,51.29,51.45,50.24,50.53,8493800
2019-10-24 04:00:00+00:00,52.94,55.12,52.75,55.07,18652600
2019-10-25 04:00:00+00:00,54.9,55.84,54.53,55.72,8567800
2019-10-28 04:00:00+00:00,56.03,57.29,56.0,56.95,8755200
2019-10-29 04:00:00+00:00,56.68,57.09,55.4,55.52,6353600
2019-10-30 04:00:00+00:00,55.33,55.44,54.67,55.21,4246700
2019-10-31 04:00:00+00:00,55.19,55.19,53.56,54.26,6741600
2019-11-01 04:00:00+00:00,54.93,55.47,54.41,55.46,5899000
2019-11-04 05:00:00+00:00,56.02,56.4,55.34,55.74,4150500
2019-11-05 05:00:00+00:00,56.09,56.29,55.57,55.88,3857900
2019-11-06 05:00:00+00:00,55.6,55.88,54.91,55.82,3965900
