Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,30.57,30.96,30.14,30.29,41603000
2019-09-20 04:00:00+00:00,30.36,30.47,29.65,30.05,79957400
2019-09-23 04:00:00+00:00,30.12,30.8,30.07,30.64,44366800
2019-09-24 04:00:00+00:00,30.54,30.75,29.29,29.52,72963000
2019-09-25 04:00:00+00:00,29.48,29.65,28.55,29.54,58234800
2019-09-26 04:00:00+00:00,29.67,29.77,29.0,29.47,40745400
2019-09-27 04:00:00+00:00,29.17,29.77,28.35,28.72,54091100
2019-09-30 04:00:00+00:00,28.89,29.05,28.36,28.99,37295600
2019-10-01 04:00:00+00:00,29.05,29.54,28.64,28.76,37081800
2019-10-02 04:00:00+00:00,28.5,28.85,28.03,28.31,43640700
2019-10-03 04:00:00+00:00,28.28,28.78,27.43,28.68,56325200
2019-10-04 04:00:00+00:00,28.83,29.06,28.28,29.01,34446700
2019-10-07 04:00:00+00:00,28.9,29.63,28.84,28.93,39337200
2019-10-08 04:00:00+00:00,28.55,28.64,27.92,28.23,44265700
2019-10-09 04:00:00+00:00,28.8,28.95,28.35,28.46,35661500
2019-10-10 04:00:00+00:00,28.52,28.89,28.0,28.38,40660100
2019-10-11 04:00:00+00:00,28.83,30.2,28.81,29.75,66256900
2019-10-14 04:00:00+00:00,29.71,30.61,29.38,30.53,44473700
2019-10-15 04:00:00+00:00,30.7,30.92,30.17,30.72,41600700
2019-10-16 04:00:00+00:00,30.6,31.41,30.53,30.81,42804400
2019-10-17 04:00:00+00:00,31.3,31.4,30.86,31.14,36884400
2019-10-18 04:00:00+00:00,31.06,31.33,30.29,30.97,39681700
2019-10-21 04:00:00+00:00,31.5,32.26,31.41,32.03,52182800
2019-10-22 04:00:00+00:00,32.06,32.15,31.5,31.51,36185200
2019-10-23 04:00:00+00:00,31.09,31.65,30.83,31.36,26582200
2019-10-24 04:00:00+00:00,31.58,31.86,31.34,31.72,27808000
2019-10-25 04:00:00+00:00,31.9,32.86,31.83,32.71,45368800
2019-10-28 04:00:00+00:00,33.16,33.91,33.15,33.69,51223600
2019-10-29 04:00:00+00:00,33.73,33.9,32.7,33.03,78700100
2019-10-30 04:00:00+00:00,32.93,33.34,32.03,33.13,78228800
2019-10-31 04:00:00+00:00,32.98,34.34,32.82,33.93,67881600
2019-11-01 04:00:00+00:00,34.37,35.0,34.1,34.89,64238600
2019-11-04 05:00:00+00:00,35.19,36.45,34.76,36.29,83343800
2019-11-05 05:00:00+00:00,36.56,37.18,35.98,36.15,84848600
2019-11-06 05:00:00+00:00,36.06,36.48,35.52,35.93,51675100
2019-11-07 05:00:00+00:00,36.52,36.99,36.03,36.28,54350200
2019-11-08 05:00:00+00:00,36.06,36.58,36.0,36.29,39353900
2019-11-11 05:00:00+00:00,35.96,36.66,35.58,36.31,43511100
2019-11-12 05:00:00+00:00,36.43,37.13,36.4,36.71,58664500
2019-11-13 05:00:00+00:00,36.65,37.96,36.58,37.52,67648300
2019-11-14 05:00:00+00:00,37.51,38.5,37.36,38.35,65829500
2019-11-15 05:00:00+00:00,38.94,39.37,38.34,38.56,62958500
2019-11-18 05:00:00+00:00,38.65,39.99,38.6,39.88,66102800
2019-11-19 05:00:00+00:00,40.14,41.79,39.69,41.29,94373000
2019-11-20 05:00:00+00:00,40.96,41.75,40.07,40.98,79767900
2019-11-21 05:00:00+00:00,40.42,40.71,38.64,39.52,88069400
2019-11-22 05:00:00+00:00,39.36,39.89,38.19,39.15,56931900
2019-11-25 05:00:00+00:00,39.5,40.17,39.49,39.79,45769500
2019-11-26 05:00:00+00:00,39.3,39.48,38.81,38.99,43603300
