Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,250.43,252.11,249.59,249.59,394700
2019-09-20 04:00:00+00:00,250.7,250.88,244.67,245.79,819500
2019-09-23 04:00:00+00:00,246.19,249.25,245.84,248.48,296100
2019-09-24 04:00:00+00:00,248.74,249.94,245.14,246.39,605600
2019-09-25 04:00:00+00:00,242.67,248.03,241.17,247.53,518300
2019-09-26 04:00:00+00:00,249.56,249.64,246.47,248.04,615100
2019-09-27 04:00:00+00:00,247.07,248.05,241.32,243.71,564500
2019-09-30 04:00:00+00:00,244.98,249.41,244.82,248.42,495000
2019-10-01 04:00:00+00:00,249.17,250.17,244.68,245.39,655300
2019-10-02 04:00:00+00:00,243.49,243.52,238.29,240.29,710100
2019-10-03 04:00:00+00:00,240.91,244.88,238.54,244.35,531000
2019-10-04 04:00:00+00:00,244.47,246.36,244.18,246.04,518000
2019-10-07 04:00:00+00:00,247.41,249.43,247.18,247.42,515900
2019-10-08 04:00:00+00:00,244.05,245.6,241.51,242.08,576700
2019-10-09 04:00:00+00:00,245.56,247.95,244.84,246.27,431300
2019-10-10 04:00:00+00:00,249.14,254.24,248.38,251.49,835700
2019-10-11 04:00:00+00:00,258.4,262.46,257.74,260.0,1034300
2019-10-14 04:00:00+00:00,259.82,262.0,259.09,261.64,731800
2019-10-15 04:00:00+00:00,263.44,269.39,263.01,267.54,1265400
2019-10-16 04:00:00+00:00,260.26,260.7,253.53,254.47,1720200
2019-10-17 04:00:00+00:00,256.19,257.17,253.26,253.76,1543900
2019-10-18 04:00:00+00:00,253.99,255.3,252.33,254.42,1640900
2019-10-21 04:00:00+00:00,257.78,261.0,257.1,260.43,790400
2019-10-22 04:00:00+00:00,258.81,260.27,255.07,255.29,797300
2019-10-23 04:00:00+00:00,254.85,257.95,253.59,257.66,917100
2019-10-24 04:00:00+00:00,260.8,265.48,260.65,264.97,642300
2019-10-25 04:00:00+00:00,262.45,264.7,261.88,263.99,550500
2019-10-28 04:00:00+00:00,267.39,268.36,265.88,266.51,683000
2019-10-29 04:00:00+00:00,268.88,269.26,264.24,264.6,501900
2019-10-30 04:00:00+00:00,263.16,266.02,261.08,265.65,494700
2019-10-31 04:00:00+00:00,265.3,265.3,261.32,261.97,630600
2019-11-01 04:00:00+00:00,267.21,270.84,266.16,270.6,617600
2019-11-04 05:00:00+00:00,272.6,275.0,272.08,273.18,664600
2019-11-05 05:00:00+00:00,271.82,273.93,271.0,271.8,382700
2019-11-06 05:00:00+00:00,269.55,270.13,267.81,268.74,909500
2019-11-07 05:00:00+00:00,269.08,270.77,267.2,267.65,560900
2019-11-08 05:00:00+00:00,265.79,268.2,264.69,267.29,743400
2019-11-11 05:00:00+00:00,266.15,267.49,265.13,266.72,451700
2019-11-12 05:00:00+00:00,268.2,269.15,266.61,267.59,336100
2019-11-13 05:00:00+00:00,268.03,270.49,267.31,269.92,422800
