Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,153.52,154.25,152.77,153.6,2947000
2019-09-20 04:00:00+00:00,154.69,156.88,153.62,155.2,11733000
2019-09-23 04:00:00+00:00,154.15,155.2,152.96,154.65,3642200
2019-09-24 04:00:00+00:00,154.28,156.27,151.09,152.05,4120800
2019-09-25 04:00:00+00:00,152.05,153.21,148.9,152.99,3445000
2019-09-26 04:00:00+00:00,152.42,153.4,151.84,152.34,3837300
2019-09-27 04:00:00+00:00,153.12,153.15,146.75,148.26,5858200
2019-09-30 04:00:00+00:00,147.95,148.97,147.41,148.44,3671200
2019-10-01 04:00:00+00:00,149.49,150.16,147.25,147.69,3172900
2019-10-02 04:00:00+00:00,146.06,146.5,143.2,144.22,4432400
2019-10-03 04:00:00+00:00,144.0,147.06,142.08,147.0,3660900
2019-10-04 04:00:00+00:00,148.28,148.92,146.21,148.03,3259000
2019-10-07 04:00:00+00:00,147.28,149.33,147.0,148.8,2704700
2019-10-08 04:00:00+00:00,147.54,148.34,145.81,145.91,2613200
2019-10-09 04:00:00+00:00,147.27,147.85,146.61,147.05,2273000
2019-10-10 04:00:00+00:00,146.84,147.56,145.51,146.41,2687400
2019-10-11 04:00:00+00:00,148.14,150.71,148.09,149.37,4663900
2019-10-14 04:00:00+00:00,149.4,150.28,148.8,149.37,1556900
2019-10-15 04:00:00+00:00,149.66,152.97,149.62,152.74,3942600
2019-10-16 04:00:00+00:00,147.26,150.85,145.82,146.97,8988600
2019-10-17 04:00:00+00:00,147.58,148.04,145.51,146.17,5024400
2019-10-18 04:00:00+00:00,146.3,146.44,142.4,144.09,6080000
2019-10-21 04:00:00+00:00,144.1,145.19,143.0,144.55,3358000
2019-10-22 04:00:00+00:00,145.05,145.96,142.14,142.33,4460500
2019-10-23 04:00:00+00:00,142.11,145.57,141.49,145.13,4761400
2019-10-24 04:00:00+00:00,146.59,148.79,146.4,148.12,5280100
2019-10-25 04:00:00+00:00,147.05,150.66,146.3,150.49,4991400
2019-10-28 04:00:00+00:00,151.2,154.92,149.43,154.79,7576700
2019-10-29 04:00:00+00:00,154.78,156.13,154.42,155.09,5477300
2019-10-30 04:00:00+00:00,155.74,158.42,155.01,158.28,4724500
2019-10-31 04:00:00+00:00,156.56,158.28,155.21,156.49,4578300
2019-11-01 04:00:00+00:00,157.91,160.09,156.75,159.74,4771100
2019-11-04 05:00:00+00:00,160.94,161.25,156.69,157.6,5748100
2019-11-05 05:00:00+00:00,157.59,159.12,155.47,158.15,4015000
2019-11-06 05:00:00+00:00,158.94,160.0,157.75,158.93,4207400
2019-11-07 05:00:00+00:00,158.93,161.13,158.08,159.5,3802300
