Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,268.76,272.42,268.61,270.02,903700
2019-09-20 04:00:00+00:00,269.98,272.91,267.46,269.18,1584200
2019-09-23 04:00:00+00:00,268.39,270.99,268.21,269.0,803500
2019-09-24 04:00:00+00:00,270.76,271.67,264.01,264.85,1169500
2019-09-25 04:00:00+00:00,264.33,267.1,260.35,266.43,983000
2019-09-26 04:00:00+00:00,267.08,270.63,266.42,269.72,1182300
2019-09-27 04:00:00+00:00,271.32,271.32,259.26,263.19,1020100
2019-09-30 04:00:00+00:00,263.5,267.27,262.41,265.94,1135600
2019-10-01 04:00:00+00:00,267.69,268.27,263.38,264.3,1007300
2019-10-02 04:00:00+00:00,263.21,263.21,255.47,260.45,1375000
2019-10-03 04:00:00+00:00,259.43,263.54,255.41,263.0,1270300
2019-10-04 04:00:00+00:00,264.05,267.83,262.01,267.09,1312900
2019-10-07 04:00:00+00:00,264.9,268.1,264.86,266.76,1551300
2019-10-08 04:00:00+00:00,265.33,266.2,260.99,260.99,1340000
2019-10-09 04:00:00+00:00,262.87,265.12,262.37,264.0,864200
2019-10-10 04:00:00+00:00,262.36,268.94,262.36,267.53,1177400
2019-10-11 04:00:00+00:00,270.4,273.81,269.42,270.07,1068600
2019-10-14 04:00:00+00:00,269.99,271.66,268.9,269.06,1024300
2019-10-15 04:00:00+00:00,270.06,274.11,269.1,273.5,1042100
2019-10-16 04:00:00+00:00,271.52,271.69,265.81,269.15,1065500
2019-10-17 04:00:00+00:00,269.85,270.79,263.73,266.53,879800
2019-10-18 04:00:00+00:00,267.67,267.67,260.54,262.47,1551800
2019-10-21 04:00:00+00:00,264.48,264.5,258.58,262.2,1040400
2019-10-22 04:00:00+00:00,260.74,263.55,253.18,253.33,1482400
2019-10-23 04:00:00+00:00,253.33,258.97,252.54,255.97,1227800
2019-10-24 04:00:00+00:00,257.13,260.84,255.84,258.9,1071500
2019-10-25 04:00:00+00:00,259.13,260.28,256.7,257.67,1185800
2019-10-28 04:00:00+00:00,259.21,259.56,256.27,258.61,1027100
2019-10-29 04:00:00+00:00,258.49,261.09,257.95,258.49,953200
2019-10-30 04:00:00+00:00,259.76,261.67,258.24,260.29,1665800
2019-10-31 04:00:00+00:00,260.14,261.57,257.14,257.5,890100
2019-11-01 04:00:00+00:00,259.91,260.88,256.24,256.48,1108700
2019-11-04 05:00:00+00:00,258.17,258.61,253.78,254.06,1410900
2019-11-05 05:00:00+00:00,254.4,255.63,250.41,253.16,1918900
2019-11-06 05:00:00+00:00,253.25,255.33,251.99,253.42,1430600
2019-11-07 05:00:00+00:00,253.0,260.97,252.79,259.35,1401400
2019-11-08 05:00:00+00:00,258.52,259.51,255.44,256.85,1357200
2019-11-11 05:00:00+00:00,255.65,259.4,255.47,258.03,963900
2019-11-12 05:00:00+00:00,258.65,262.37,258.0,259.98,1227800
2019-11-13 05:00:00+00:00,259.78,262.93,259.0,261.75,1242800
2019-11-14 05:00:00+00:00,261.44,264.97,260.55,264.78,974300
2019-11-15 05:00:00+00:00,266.35,266.9,263.86,266.05,1484300
2019-11-18 05:00:00+00:00,266.96,268.73,264.04,268.4,1945000
2019-11-19 05:00:00+00:00,269.85,272.52,267.96,272.26,1334100
2019-11-20 05:00:00+00:00,271.41,274.59,270.54,273.48,1448800
2019-11-21 05:00:00+00:00,275.11,275.7,269.55,271.15,1308100
2019-11-22 05:00:00+00:00,267.92,270.0,255.25,259.81,4071600
2019-11-25 05:00:00+00:00,260.86,261.01,256.34,257.07,2428600
2019-11-26 05:00:00+00:00,257.41,266.5,257.0,265.88,2081500
2019-11-27 05:00:00+00:00,267.28,267.59,260.69,262.15,1164200
2019-11-29 05:00:00+00:00,261.34,262.42,258.34,258.89,721500
2019-12-02 05:00:00+00:00,259.11,259.93,252.65,256.55,1486200
2019-12-03 05:00:00+00:00,253.19,256.37,252.36,253.68,1302400
2019-12-04 05:00:00+00:00,255.37,255.58,252.94,254.25,1526100
2019-12-05 05:00:00+00:00,254.78,255.68,252.16,253.78,1248700
2019-12-06 05:00:00+00:00,254.77,256.29,253.73,256.18,1029400
2019-12-09 05:00:00+00:00,256.0,256.88,255.41,255.77,1086900
2019-12-10 05:00:00+00:00,256.07,256.87,252.14,252.32,975400
2019-12-11 05:00:00+00:00,254.14,255.61,247.8,251.9,1588900
2019-12-12 05:00:00+00:00,251.37,255.69,250.02,252.75,1102300
2019-12-13 05:00:00+00:00,252.56,260.66,250.03,259.64,1965200
2019-12-16 05:00:00+00:00,260.78,264.12,260.75,263.5,1948500
2019-12-17 05:00:00+00:00,265.0,265.0,259.14,260.4,1778700
2019-12-18 05:00:00+00:00,261.27,264.26,260.0,263.2,1453400
2019-12-19 05:00:00+00:00,263.04,264.56,262.37,264.05,1352900
2019-12-20 05:00:00+00:00,265.84,267.47,264.43,267.1,2361500
2019-12-23 05:00:00+00:00,268.03,268.95,266.22,266.28,1411500
2019-12-24 05:00:00+00:00,266.6,267.21,264.29,264.33,417100
2019-12-26 05:00:00+00:00,264.44,267.9,264.38,266.87,691600
2019-12-27 05:00:00+00:00,267.46,267.46,264.49,267.06,637900
2019-12-30 05:00:00+00:00,267.16,267.88,262.42,262.84,995500
2019-12-31 05:00:00+00:00,262.7,264.05,260.36,261.93,1007900
2020-01-02 05:00:00+00:00,261.08,266.6,261.08,266.16,1124500
2020-01-03 05:00:00+00:00,261.61,265.37,261.44,264.38,798500
2020-01-06 05:00:00+00:00,261.89,266.63,261.77,266.41,1026100
2020-01-07 05:00:00+00:00,266.81,267.52,265.35,266.47,915100
2020-01-08 05:00:00+00:00,268.0,274.77,266.8,272.88,1373900
2020-01-09 05:00:00+00:00,274.0,277.27,273.57,274.9,1076300
2020-01-10 05:00:00+00:00,276.49,276.5,273.83,275.25,1127400
2020-01-13 05:00:00+00:00,276.33,277.85,274.83,276.04,1697600
2020-01-14 05:00:00+00:00,275.63,276.31,272.09,272.68,1216400
2020-01-15 05:00:00+00:00,273.82,276.08,272.61,273.0,1147300
2020-01-16 05:00:00+00:00,274.64,276.89,273.31,276.87,834700
2020-01-17 05:00:00+00:00,278.49,283.0,276.35,282.85,2172700
2020-01-21 05:00:00+00:00,281.81,285.26,281.54,285.01,1636000
2020-01-22 05:00:00+00:00,286.13,291.49,285.88,290.28,2611200
2020-01-23 05:00:00+00:00,289.73,292.68,288.36,288.58,1659500
2020-01-24 05:00:00+00:00,290.0,293.0,287.26,288.08,1089900
2020-01-27 05:00:00+00:00,281.48,285.98,281.01,283.76,881200
2020-01-28 05:00:00+00:00,284.41,288.53,282.94,288.16,840900
2020-01-29 05:00:00+00:00,289.34,289.74,283.89,285.92,858100
2020-01-30 05:00:00+00:00,284.19,286.84,282.45,286.63,785000
2020-01-31 05:00:00+00:00,285.8,286.48,279.75,280.38,1268800
2020-02-03 05:00:00+00:00,283.57,285.77,281.47,282.8,1042000
2020-02-04 05:00:00+00:00,287.16,292.8,284.45,290.92,1345700
2020-02-05 05:00:00+00:00,298.82,298.82,286.62,289.81,1060700
2020-02-06 05:00:00+00:00,291.85,294.33,289.81,294.21,1000700
2020-02-07 05:00:00+00:00,293.17,295.77,291.1,294.71,921600
2020-02-10 05:00:00+00:00,295.05,298.02,294.09,297.74,1139800
2020-02-11 05:00:00+00:00,299.9,299.96,296.5,296.92,903500
2020-02-12 05:00:00+00:00,297.0,298.87,294.63,298.65,792300
2020-02-13 05:00:00+00:00,297.29,300.55,296.85,297.84,721200
2020-02-14 05:00:00+00:00,298.56,304.44,297.46,304.29,855300
2020-02-18 05:00:00+00:00,303.95,304.83,302.02,303.57,888200
2020-02-19 05:00:00+00:00,305.5,306.89,304.4,305.61,791600
2020-02-20 05:00:00+00:00,304.39,306.19,297.49,301.24,900900
2020-02-21 05:00:00+00:00,300.6,303.99,295.37,297.57,1173200
2020-02-24 05:00:00+00:00,288.44,292.7,278.01,286.43,1996800
2020-02-25 05:00:00+00:00,297.55,301.64,283.57,284.8,3430400
2020-02-26 05:00:00+00:00,286.28,290.93,278.67,280.09,2449200
2020-02-27 05:00:00+00:00,274.26,278.59,268.4,268.77,2246700
2020-02-28 05:00:00+00:00,259.62,266.12,255.59,265.85,2899400
2020-03-02 05:00:00+00:00,266.72,281.33,263.73,281.18,2520500
2020-03-03 05:00:00+00:00,280.96,284.66,264.18,268.24,2015100
2020-03-04 05:00:00+00:00,274.22,286.52,270.52,285.55,2551100
2020-03-05 05:00:00+00:00,276.14,290.22,275.14,287.18,2418800
2020-03-06 05:00:00+00:00,276.45,281.81,268.14,276.18,1913900
2020-03-09 04:00:00+00:00,258.26,269.23,250.0,260.04,2138600
2020-03-10 04:00:00+00:00,270.11,270.11,257.97,269.66,2541500
2020-03-11 04:00:00+00:00,263.92,266.29,256.08,261.12,1848500
2020-03-12 04:00:00+00:00,245.09,257.98,235.96,237.94,3430300
2020-03-13 04:00:00+00:00,250.0,261.4,235.0,261.25,2399200
2020-03-16 04:00:00+00:00,232.0,244.99,222.38,223.43,2642500
2020-03-17 04:00:00+00:00,228.51,240.78,216.18,239.17,2901100
2020-03-18 04:00:00+00:00,226.04,232.27,215.07,225.07,2103300
2020-03-19 04:00:00+00:00,224.36,224.99,210.52,215.89,2340900
2020-03-20 04:00:00+00:00,217.73,219.23,199.39,201.84,3858400
2020-03-23 04:00:00+00:00,202.34,202.34,187.68,194.72,3415600
2020-03-24 04:00:00+00:00,206.16,235.56,204.34,233.82,3329600
2020-03-25 04:00:00+00:00,229.78,240.74,223.54,232.58,2505000
2020-03-26 04:00:00+00:00,234.55,249.67,228.51,248.39,2245400
2020-03-27 04:00:00+00:00,240.0,247.54,226.68,229.69,2143700
2020-03-30 04:00:00+00:00,236.99,240.44,233.23,238.05,1321100
2020-03-31 04:00:00+00:00,236.29,238.42,229.62,230.0,1698100
2020-04-01 04:00:00+00:00,224.05,228.85,216.07,218.12,1646700
2020-04-02 04:00:00+00:00,216.1,228.34,215.55,225.22,1584400
2020-04-03 04:00:00+00:00,223.85,225.22,216.8,218.39,1553400
2020-04-06 04:00:00+00:00,231.73,241.69,227.17,240.12,2535600
2020-04-07 04:00:00+00:00,247.62,248.98,239.02,239.76,1466200
2020-04-08 04:00:00+00:00,241.46,247.86,240.38,245.93,1223200
2020-04-09 04:00:00+00:00,246.81,254.94,245.87,252.1,1646900
2020-04-13 04:00:00+00:00,250.71,252.77,244.56,250.09,1298900
2020-04-14 04:00:00+00:00,257.18,262.35,252.66,261.32,1817900
2020-04-15 04:00:00+00:00,256.95,257.47,250.73,251.96,1198400
2020-04-16 04:00:00+00:00,256.15,259.47,251.84,257.44,1087700
2020-04-17 04:00:00+00:00,264.73,267.33,259.01,265.36,1423600
2020-04-20 04:00:00+00:00,260.49,267.92,260.33,264.0,1297300
