Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,119.7,120.34,119.09,119.38,9382600
2019-09-20 04:00:00+00:00,119.74,120.34,118.87,118.9,21862800
2019-09-23 04:00:00+00:00,117.78,119.12,117.68,118.88,9135100
2019-09-24 04:00:00+00:00,118.75,119.26,117.04,117.33,11696500
2019-09-25 04:00:00+00:00,117.27,118.36,117.12,118.0,9389400
2019-09-26 04:00:00+00:00,117.88,118.05,116.95,117.03,9899200
2019-09-27 04:00:00+00:00,117.96,118.64,117.28,117.72,10207800
2019-09-30 04:00:00+00:00,118.36,118.77,117.22,117.69,9755000
2019-10-01 04:00:00+00:00,118.4,119.0,115.41,115.55,11250300
2019-10-02 04:00:00+00:00,114.81,114.9,112.93,113.25,12548700
2019-10-03 04:00:00+00:00,112.27,112.91,110.52,112.19,12735200
2019-10-04 04:00:00+00:00,112.34,114.94,112.27,114.62,9453100
2019-10-07 04:00:00+00:00,114.19,115.5,114.07,114.37,6771600
2019-10-08 04:00:00+00:00,113.06,113.06,111.66,111.82,10806300
2019-10-09 04:00:00+00:00,112.67,113.16,112.07,112.63,7273700
2019-10-10 04:00:00+00:00,113.14,115.4,113.0,114.21,10994100
2019-10-11 04:00:00+00:00,116.03,117.99,115.87,116.14,15076500
2019-10-14 04:00:00+00:00,115.85,116.87,115.66,116.45,8779000
2019-10-15 04:00:00+00:00,118.85,121.59,117.87,119.96,23379000
2019-10-16 04:00:00+00:00,119.96,120.62,119.38,119.68,11087700
2019-10-17 04:00:00+00:00,120.75,121.57,119.88,120.35,10818500
2019-10-18 04:00:00+00:00,120.0,121.02,119.86,120.56,10417400
2019-10-21 04:00:00+00:00,122.05,123.77,121.99,123.55,12714600
2019-10-22 04:00:00+00:00,123.45,125.1,123.12,124.79,12549100
2019-10-23 04:00:00+00:00,124.2,125.15,124.17,125.12,8828300
2019-10-24 04:00:00+00:00,125.29,125.66,124.07,125.03,8020500
2019-10-25 04:00:00+00:00,125.0,126.65,124.75,126.03,9055700
2019-10-28 04:00:00+00:00,126.57,127.21,126.4,126.51,9522200
2019-10-29 04:00:00+00:00,126.06,127.42,125.94,126.43,9797300
2019-10-30 04:00:00+00:00,126.05,126.26,124.92,125.73,8513700
2019-10-31 04:00:00+00:00,125.49,125.73,123.86,124.92,11589100
2019-11-01 04:00:00+00:00,126.2,127.99,126.02,127.8,11682600
2019-11-04 05:00:00+00:00,129.08,129.42,128.56,128.82,9159900
2019-11-05 05:00:00+00:00,129.39,130.3,128.84,129.1,13747600
2019-11-06 05:00:00+00:00,128.69,129.84,128.58,129.3,11231100
2019-11-07 05:00:00+00:00,130.43,131.29,129.92,130.0,13528900
2019-11-08 05:00:00+00:00,129.88,130.4,129.25,130.38,9293400
2019-11-11 05:00:00+00:00,129.6,130.1,129.35,129.92,8679000
2019-11-12 05:00:00+00:00,129.63,130.62,129.01,129.16,9099000
2019-11-13 05:00:00+00:00,128.13,128.82,127.42,128.48,8023300
2019-11-14 05:00:00+00:00,127.72,128.84,127.59,128.6,8483400
2019-11-15 05:00:00+00:00,129.23,129.53,128.4,129.53,10163600
2019-11-18 05:00:00+00:00,129.56,130.65,128.99,130.62,8749300
2019-11-19 05:00:00+00:00,130.99,131.25,130.18,130.58,8824500
2019-11-20 05:00:00+00:00,130.3,130.62,128.94,129.63,11782800
2019-11-21 05:00:00+00:00,130.0,130.72,129.39,129.93,7705500
2019-11-22 05:00:00+00:00,130.15,131.22,130.1,130.79,8167900
2019-11-25 05:00:00+00:00,131.25,132.07,130.87,131.49,10068500
2019-11-26 05:00:00+00:00,131.82,131.82,130.36,131.67,10490700
2019-11-27 05:00:00+00:00,132.29,132.43,131.65,132.06,6607900
2019-11-29 05:00:00+00:00,131.87,132.41,131.45,131.76,5712000
2019-12-02 05:00:00+00:00,132.31,132.74,131.35,131.47,8615600
2019-12-03 05:00:00+00:00,129.77,129.96,128.59,129.78,10361300
2019-12-04 05:00:00+00:00,130.38,132.47,129.99,132.34,10318200
2019-12-05 05:00:00+00:00,132.68,133.31,132.18,133.06,9587400
2019-12-06 05:00:00+00:00,134.69,135.78,134.65,135.04,10170600
2019-12-09 05:00:00+00:00,134.63,135.46,134.41,134.41,8498200
2019-12-10 05:00:00+00:00,133.25,134.77,132.88,134.5,7532900
2019-12-11 05:00:00+00:00,134.29,135.02,134.01,134.18,9011900
2019-12-12 05:00:00+00:00,134.49,138.47,134.21,138.02,13717400
2019-12-13 05:00:00+00:00,137.95,138.83,136.22,136.81,10592100
2019-12-16 05:00:00+00:00,138.38,138.84,137.32,137.34,11372000
2019-12-17 05:00:00+00:00,137.73,138.67,137.23,138.18,11546800
2019-12-18 05:00:00+00:00,138.15,139.02,137.72,138.04,10381500
2019-12-19 05:00:00+00:00,137.76,138.22,137.1,137.35,9350400
2019-12-20 05:00:00+00:00,138.02,138.88,136.9,137.24,29992600
2019-12-23 05:00:00+00:00,137.6,137.91,136.88,137.2,9738400
2019-12-24 05:00:00+00:00,137.33,137.63,137.06,137.58,3324300
2019-12-26 05:00:00+00:00,137.89,139.1,137.78,139.04,6770900
2019-12-27 05:00:00+00:00,139.3,139.77,138.67,139.14,7868200
2019-12-30 05:00:00+00:00,139.9,140.08,138.47,138.63,6963000
