Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,54.23,54.6,54.13,54.52,7560300
2019-09-20 04:00:00+00:00,54.69,54.69,53.9,53.91,19211500
2019-09-23 04:00:00+00:00,53.91,54.36,53.88,54.14,6485300
2019-09-24 04:00:00+00:00,54.25,54.61,54.04,54.3,10093000
2019-09-25 04:00:00+00:00,54.44,54.48,54.0,54.17,10248400
2019-09-26 04:00:00+00:00,54.47,54.58,54.13,54.39,10031200
2019-09-27 04:00:00+00:00,54.56,54.64,54.0,54.31,7939900
2019-09-30 04:00:00+00:00,54.15,54.68,54.15,54.44,9808700
2019-10-01 04:00:00+00:00,54.53,54.78,54.01,54.65,14261500
2019-10-02 04:00:00+00:00,54.21,54.44,52.9,53.08,14343600
2019-10-03 04:00:00+00:00,53.5,53.98,52.82,53.84,13817500
2019-10-04 04:00:00+00:00,54.0,54.54,53.89,54.54,9295400
2019-10-07 04:00:00+00:00,54.33,54.36,53.77,53.87,5964900
2019-10-08 04:00:00+00:00,53.88,54.07,53.45,53.58,13301900
2019-10-09 04:00:00+00:00,54.06,54.07,53.54,53.83,7135000
2019-10-10 04:00:00+00:00,53.55,53.88,53.36,53.66,8942900
2019-10-11 04:00:00+00:00,53.65,53.7,53.2,53.3,8981700
2019-10-14 04:00:00+00:00,53.49,53.68,53.22,53.3,7306300
2019-10-15 04:00:00+00:00,53.43,53.68,53.27,53.51,9564300
2019-10-16 04:00:00+00:00,53.46,53.57,53.13,53.49,10454800
2019-10-17 04:00:00+00:00,53.69,54.12,53.58,53.79,13190300
2019-10-18 04:00:00+00:00,55.0,55.39,54.45,54.78,18122400
2019-10-21 04:00:00+00:00,54.45,54.56,53.68,54.23,12778900
2019-10-22 04:00:00+00:00,54.23,54.42,53.74,53.85,9533400
2019-10-23 04:00:00+00:00,54.06,54.66,54.01,54.64,8556600
2019-10-24 04:00:00+00:00,54.57,54.82,54.49,54.61,11051400
