Date,Open,High,Low,Close,Volume
2019-09-27 04:00:00+00:00,18.29,18.43,18.18,18.37,1060200
2019-09-30 04:00:00+00:00,18.28,18.72,18.28,18.6,1065200
2019-10-01 04:00:00+00:00,18.71,18.74,17.1,17.1,2060700
2019-10-02 04:00:00+00:00,17.31,17.88,16.83,17.75,1376300
2019-10-03 04:00:00+00:00,17.76,18.17,17.47,18.12,1035600
2019-10-04 04:00:00+00:00,18.06,18.33,17.94,18.27,895500
2019-10-07 04:00:00+00:00,18.22,18.52,18.15,18.35,599500
2019-10-08 04:00:00+00:00,18.2,18.5,17.89,18.42,741400
2019-10-09 04:00:00+00:00,18.57,18.66,18.36,18.51,540200
2019-10-10 04:00:00+00:00,18.62,19.15,18.54,18.95,722200
2019-10-11 04:00:00+00:00,19.16,19.17,18.65,18.82,692800
2019-10-14 04:00:00+00:00,18.73,18.79,18.4,18.62,735000
2019-10-15 04:00:00+00:00,18.69,19.01,18.56,18.98,539900
2019-10-16 04:00:00+00:00,19.0,19.62,18.9,19.48,818900
2019-10-17 04:00:00+00:00,19.46,19.68,19.06,19.08,557700
2019-10-18 04:00:00+00:00,18.97,19.19,18.86,19.16,454000
2019-10-21 04:00:00+00:00,19.22,19.45,19.12,19.36,660600
2019-10-22 04:00:00+00:00,19.33,19.37,19.04,19.07,543700
2019-10-23 04:00:00+00:00,19.05,19.19,18.89,19.12,487200
2019-10-24 04:00:00+00:00,19.12,19.75,18.9,19.69,562900
2019-10-25 04:00:00+00:00,19.58,19.71,19.27,19.29,591200
2019-10-28 04:00:00+00:00,19.46,19.59,19.18,19.33,717500
2019-10-29 04:00:00+00:00,19.26,19.68,19.2,19.34,911600
2019-10-30 04:00:00+00:00,19.43,19.6,18.86,18.95,901800
2019-10-31 04:00:00+00:00,18.97,19.14,18.79,18.88,642000
2019-11-01 04:00:00+00:00,19.01,19.46,19.01,19.41,652700
2019-11-04 05:00:00+00:00,19.6,19.63,17.46,17.63,1602300
2019-11-05 05:00:00+00:00,17.95,18.11,17.33,17.95,1565300
2019-11-06 05:00:00+00:00,19.5,19.5,18.36,18.56,1896300
2019-11-07 05:00:00+00:00,18.6,19.8,18.51,19.75,1611500
