Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,112.86,115.11,112.39,114.35,3929800
2019-09-20 04:00:00+00:00,115.93,117.23,114.47,116.16,7517700
2019-09-23 04:00:00+00:00,116.0,116.54,113.97,114.18,2611300
2019-09-24 04:00:00+00:00,114.36,114.55,111.94,113.25,3480200
2019-09-25 04:00:00+00:00,112.88,113.85,111.31,111.39,3093400
2019-09-26 04:00:00+00:00,112.04,112.66,110.69,111.82,2266400
2019-09-27 04:00:00+00:00,112.35,113.37,111.38,112.37,1906300
2019-09-30 04:00:00+00:00,112.4,113.45,111.69,111.83,2516600
2019-10-01 04:00:00+00:00,111.94,112.45,110.41,110.96,2203400
2019-10-02 04:00:00+00:00,110.33,110.64,106.66,107.0,4483900
2019-10-03 04:00:00+00:00,107.09,108.1,106.21,107.29,2735000
2019-10-04 04:00:00+00:00,107.49,108.26,107.0,108.2,2865300
2019-10-07 04:00:00+00:00,108.31,108.65,107.57,107.83,1460800
2019-10-08 04:00:00+00:00,106.89,108.33,105.95,107.19,2802500
2019-10-09 04:00:00+00:00,107.56,108.15,106.88,107.3,1636600
2019-10-10 04:00:00+00:00,107.03,107.49,106.58,106.92,2736900
2019-10-11 04:00:00+00:00,107.75,109.14,107.59,108.36,2554900
2019-10-14 04:00:00+00:00,108.52,109.13,107.88,107.9,1341300
2019-10-15 04:00:00+00:00,108.35,110.1,108.22,109.7,1760000
2019-10-16 04:00:00+00:00,109.18,109.48,107.79,107.95,2314600
2019-10-17 04:00:00+00:00,109.22,109.46,108.26,108.46,2018900
2019-10-18 04:00:00+00:00,108.31,108.94,107.9,108.64,2207100
2019-10-21 04:00:00+00:00,108.87,109.0,107.77,107.91,3944900
2019-10-22 04:00:00+00:00,109.98,111.46,108.89,109.84,5708500
2019-10-23 04:00:00+00:00,106.0,107.75,101.36,107.4,9047500
2019-10-24 04:00:00+00:00,107.5,108.21,106.25,107.84,3304500
2019-10-25 04:00:00+00:00,108.08,110.59,107.54,110.2,4234600
2019-10-28 04:00:00+00:00,110.62,113.19,110.62,112.99,4168500
2019-10-29 04:00:00+00:00,112.5,112.81,111.5,111.67,2987800
2019-10-30 04:00:00+00:00,111.37,113.21,111.26,112.72,2424700
2019-10-31 04:00:00+00:00,112.36,114.67,112.0,113.95,4124400
2019-11-01 04:00:00+00:00,114.07,114.51,112.31,112.51,2629100
2019-11-04 05:00:00+00:00,113.24,114.33,112.87,113.11,3002100
2019-11-05 05:00:00+00:00,112.95,113.08,110.51,111.25,3357300
2019-11-06 05:00:00+00:00,111.57,114.29,111.51,113.82,3973700
2019-11-07 05:00:00+00:00,114.23,114.63,112.03,112.77,3076200
2019-11-08 05:00:00+00:00,112.65,113.57,112.1,113.53,2224100
2019-11-11 05:00:00+00:00,113.46,114.21,112.22,112.8,1770200
2019-11-12 05:00:00+00:00,112.77,114.04,112.45,113.17,2273200
2019-11-13 05:00:00+00:00,112.87,113.53,112.25,112.79,3250600
2019-11-14 05:00:00+00:00,112.19,112.36,111.0,111.39,2627100
2019-11-15 05:00:00+00:00,111.33,113.82,111.33,113.19,4857400
2019-11-18 05:00:00+00:00,113.02,114.13,112.86,114.07,3361600
2019-11-19 05:00:00+00:00,114.03,116.12,113.75,115.1,3781600
2019-11-20 05:00:00+00:00,114.96,115.92,114.05,114.61,3638200
2019-11-21 05:00:00+00:00,114.7,115.52,113.29,114.75,2909500
2019-11-22 05:00:00+00:00,115.09,116.68,114.71,116.2,3120100
2019-11-25 05:00:00+00:00,116.6,118.46,116.6,117.47,2939300
