Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,188.66,191.1,188.15,190.14,10392700
2019-09-20 04:00:00+00:00,190.66,193.1,188.12,189.93,19934200
2019-09-23 04:00:00+00:00,189.34,190.1,185.21,186.82,13327600
2019-09-24 04:00:00+00:00,187.98,188.04,180.39,181.28,18546600
2019-09-25 04:00:00+00:00,181.45,183.42,177.87,182.8,18068300
2019-09-26 04:00:00+00:00,181.33,181.4,177.67,180.11,16083300
2019-09-27 04:00:00+00:00,180.49,180.76,175.66,177.1,14656200
2019-09-30 04:00:00+00:00,177.87,178.67,176.85,178.08,10740000
2019-10-01 04:00:00+00:00,179.15,179.84,174.88,175.81,17073000
2019-10-02 04:00:00+00:00,174.84,176.53,173.09,174.6,16151700
2019-10-03 04:00:00+00:00,175.57,179.84,173.63,179.38,16086300
2019-10-04 04:00:00+00:00,179.55,180.98,178.1,180.45,10430200
2019-10-07 04:00:00+00:00,180.0,181.18,178.09,179.68,9178300
2019-10-08 04:00:00+00:00,178.26,180.37,177.72,177.75,9466900
2019-10-09 04:00:00+00:00,179.16,180.72,177.94,179.85,7556900
2019-10-10 04:00:00+00:00,180.32,181.61,179.17,180.03,8605000
2019-10-11 04:00:00+00:00,182.15,186.49,182.14,184.19,14930500
2019-10-14 04:00:00+00:00,184.2,184.62,182.57,183.28,7006000
2019-10-15 04:00:00+00:00,183.8,190.38,183.66,188.89,15039100
2019-10-16 04:00:00+00:00,188.32,189.7,186.9,189.55,10516900
2019-10-17 04:00:00+00:00,190.3,190.84,188.77,190.39,9603000
2019-10-18 04:00:00+00:00,190.23,191.49,183.92,185.85,16874200
2019-10-21 04:00:00+00:00,187.04,189.91,186.75,189.76,8122600
2019-10-22 04:00:00+00:00,190.0,190.65,181.5,182.34,19537600
2019-10-23 04:00:00+00:00,182.01,186.38,182.0,186.15,12300400
2019-10-24 04:00:00+00:00,184.62,186.73,182.8,186.38,11413500
2019-10-25 04:00:00+00:00,185.83,189.0,185.09,187.89,8061200
2019-10-28 04:00:00+00:00,187.2,189.53,185.08,189.4,13657900
2019-10-29 04:00:00+00:00,191.69,192.53,188.47,189.31,13574900
2019-10-30 04:00:00+00:00,189.56,190.45,185.98,188.25,28734600
2019-10-31 04:00:00+00:00,196.7,198.09,188.25,191.65,42286500
2019-11-01 04:00:00+00:00,192.85,194.11,189.91,193.62,21711800
2019-11-04 05:00:00+00:00,194.55,197.37,193.81,194.72,16371300
2019-11-05 05:00:00+00:00,195.37,195.75,193.6,194.32,9942000
2019-11-06 05:00:00+00:00,194.03,194.37,191.35,191.55,10973000
2019-11-07 05:00:00+00:00,191.91,193.44,189.47,190.42,13473000
2019-11-08 05:00:00+00:00,190.0,192.34,189.7,190.84,10760800
2019-11-11 05:00:00+00:00,189.93,190.08,188.54,189.61,8631200
2019-11-12 05:00:00+00:00,190.0,195.06,189.74,194.47,17615500
2019-11-13 05:00:00+00:00,194.7,195.7,192.74,193.19,10860700
2019-11-14 05:00:00+00:00,192.93,194.03,191.45,193.15,9040500
2019-11-15 05:00:00+00:00,194.26,195.3,193.38,195.1,11524300
2019-11-18 05:00:00+00:00,194.56,198.63,193.05,197.4,16167200
2019-11-19 05:00:00+00:00,197.4,200.0,196.86,199.32,19056800
2019-11-20 05:00:00+00:00,198.58,199.59,195.43,197.51,12355400
2019-11-21 05:00:00+00:00,197.42,199.09,196.86,197.93,12131000
2019-11-22 05:00:00+00:00,198.38,199.3,197.62,198.82,9959800
2019-11-25 05:00:00+00:00,199.52,200.97,199.25,199.79,15272300
2019-11-26 05:00:00+00:00,200.0,200.15,198.04,198.97,11735500
2019-11-27 05:00:00+00:00,199.9,203.14,199.42,202.0,12736600
2019-11-29 05:00:00+00:00,201.6,203.8,201.21,201.64,7985200
2019-12-02 05:00:00+00:00,202.13,202.18,198.05,199.7,11503400
2019-12-03 05:00:00+00:00,197.6,198.93,195.08,198.82,11595300
2019-12-04 05:00:00+00:00,200.0,200.03,198.05,198.71,8456300
2019-12-05 05:00:00+00:00,199.86,201.29,198.21,199.36,9740400
2019-12-06 05:00:00+00:00,200.5,201.57,200.06,201.05,12270600
2019-12-09 05:00:00+00:00,200.65,203.14,200.21,201.34,11954800
2019-12-10 05:00:00+00:00,201.66,202.05,200.15,200.87,9475700
2019-12-11 05:00:00+00:00,200.28,202.63,200.28,202.26,8036800
2019-12-12 05:00:00+00:00,202.35,203.66,194.1,196.75,23734800
2019-12-13 05:00:00+00:00,196.4,196.8,193.17,194.11,18798000
2019-12-16 05:00:00+00:00,195.27,199.12,194.81,197.92,14911500
2019-12-17 05:00:00+00:00,198.84,199.0,196.13,198.39,10175700
2019-12-18 05:00:00+00:00,200.09,204.3,200.09,202.5,23274400
2019-12-19 05:00:00+00:00,202.78,206.3,202.51,206.06,16514600
