Date,Open,High,Low,Close,Volume
2019-09-13 04:00:00+00:00,14.85,14.941,14.534,14.578,1214000
2019-09-16 04:00:00+00:00,14.484,14.759,14.429,14.745,1296000
2019-09-17 04:00:00+00:00,14.684,14.979,14.639,14.901,986000
2019-09-18 04:00:00+00:00,14.888,15.039,14.671,14.813,984000
2019-09-19 04:00:00+00:00,14.817,15.346,14.817,15.045,1138000
2019-09-20 04:00:00+00:00,15.053,15.277,14.728,14.905,2639000
2019-09-23 04:00:00+00:00,14.864,15.137,14.782,15.059,627000
2019-09-24 04:00:00+00:00,15.226,15.226,14.792,14.888,1097000
2019-09-25 04:00:00+00:00,14.881,15.0,14.48,14.957,529000
2019-09-26 04:00:00+00:00,14.946,15.158,14.772,14.937,379000
2019-09-27 04:00:00+00:00,14.91,14.91,14.574,14.703,504000
2019-09-30 04:00:00+00:00,14.716,14.912,14.643,14.837,780000
2019-10-01 04:00:00+00:00,14.839,14.99,14.615,14.634,605000
2019-10-02 04:00:00+00:00,14.586,14.586,14.309,14.49,699000
2019-10-03 04:00:00+00:00,14.508,14.653,14.258,14.542,474000
2019-10-04 04:00:00+00:00,14.575,14.801,14.522,14.659,478000
2019-10-07 04:00:00+00:00,14.673,14.815,14.54,14.735,644000
2019-10-08 04:00:00+00:00,14.729,14.741,14.35,14.396,578000
2019-10-09 04:00:00+00:00,14.506,14.6,14.432,14.437,623000
2019-10-10 04:00:00+00:00,14.476,14.476,14.31,14.352,772000
2019-10-11 04:00:00+00:00,14.5,14.527,14.334,14.415,524000
2019-10-14 04:00:00+00:00,14.394,14.482,14.265,14.394,649000
2019-10-15 04:00:00+00:00,14.42,14.474,14.3,14.418,485000
2019-10-16 04:00:00+00:00,14.402,14.493,14.256,14.341,586000
2019-10-17 04:00:00+00:00,14.417,14.5,14.24,14.372,837000
2019-10-18 04:00:00+00:00,14.375,14.411,13.958,14.315,768000
2019-10-21 04:00:00+00:00,14.385,14.471,14.265,14.402,317000
2019-10-22 04:00:00+00:00,14.418,14.509,14.266,14.302,420000
2019-10-23 04:00:00+00:00,14.272,14.48,14.195,14.26,504000
2019-10-24 04:00:00+00:00,14.31,14.479,14.31,14.46,414000
2019-10-25 04:00:00+00:00,14.444,14.661,14.363,14.577,450000
2019-10-28 04:00:00+00:00,14.6,14.729,14.569,14.617,399000
2019-10-29 04:00:00+00:00,14.6,14.747,14.525,14.665,427000
2019-10-30 04:00:00+00:00,15.096,15.44,14.9,15.341,818000
2019-10-31 04:00:00+00:00,15.328,15.45,15.185,15.325,548000
2019-11-01 04:00:00+00:00,15.357,15.485,15.125,15.369,701000
2019-11-04 05:00:00+00:00,15.499,15.514,15.226,15.351,684000
2019-11-05 05:00:00+00:00,15.421,15.609,15.327,15.5,672000
2019-11-06 05:00:00+00:00,15.467,15.569,15.311,15.496,689000
2019-11-07 05:00:00+00:00,15.58,15.681,15.443,15.578,593000
2019-11-08 05:00:00+00:00,15.534,15.707,15.413,15.613,653000
2019-11-11 05:00:00+00:00,15.557,15.622,15.482,15.592,592000
2019-11-12 05:00:00+00:00,15.615,15.807,15.588,15.806,718000
2019-11-13 05:00:00+00:00,15.729,15.85,15.6,15.696,643000
2019-11-14 05:00:00+00:00,15.724,15.813,15.598,15.664,659000
2019-11-15 05:00:00+00:00,15.712,15.751,15.5,15.64,445000
2019-11-18 05:00:00+00:00,15.611,15.729,15.512,15.523,527000
2019-11-19 05:00:00+00:00,15.562,15.89,15.553,15.749,507000
2019-11-20 05:00:00+00:00,15.7,15.746,15.312,15.402,788000
2019-11-21 05:00:00+00:00,15.454,15.454,14.897,14.95,780000
2019-11-22 05:00:00+00:00,15.02,15.229,14.87,15.16,501000
2019-11-25 05:00:00+00:00,15.2,15.305,15.14,15.276,531000
2019-11-26 05:00:00+00:00,15.229,15.335,15.168,15.24,792000
2019-11-27 05:00:00+00:00,15.2,15.33,15.174,15.262,367000
2019-11-29 05:00:00+00:00,15.099,15.135,14.9,15.033,513000
2019-12-02 05:00:00+00:00,15.072,15.072,14.842,15.008,877000
2019-12-03 05:00:00+00:00,14.902,15.111,14.728,14.998,2215000
2019-12-04 05:00:00+00:00,15.067,15.226,15.031,15.16,857000
2019-12-05 05:00:00+00:00,15.131,15.156,14.914,14.986,876000
2019-12-06 05:00:00+00:00,15.079,15.22,15.056,15.16,693000
2019-12-09 05:00:00+00:00,15.126,15.287,15.123,15.23,664000
2019-12-10 05:00:00+00:00,15.219,15.284,15.13,15.27,437000
2019-12-11 05:00:00+00:00,15.249,15.249,14.989,15.047,281000
2019-12-12 05:00:00+00:00,14.997,15.089,14.645,14.685,437000
2019-12-13 05:00:00+00:00,14.665,14.738,14.502,14.535,523000
2019-12-16 05:00:00+00:00,14.575,14.751,14.575,14.653,442000
2019-12-17 05:00:00+00:00,14.678,14.77,14.627,14.735,335000
2019-12-18 05:00:00+00:00,14.762,14.762,14.567,14.582,338000
2019-12-19 05:00:00+00:00,14.593,14.631,14.463,14.595,465000
2019-12-20 05:00:00+00:00,14.6,14.631,14.484,14.52,1151000
2019-12-23 05:00:00+00:00,14.555,14.555,14.406,14.433,571000
2019-12-24 05:00:00+00:00,14.399,14.46,14.38,14.44,322000
2019-12-26 05:00:00+00:00,14.493,14.535,14.422,14.505,253000
2019-12-27 05:00:00+00:00,14.52,14.549,14.375,14.476,290000
2019-12-30 05:00:00+00:00,14.508,14.508,14.178,14.202,500000
2019-12-31 05:00:00+00:00,14.181,14.312,14.121,14.263,496000
2020-01-02 05:00:00+00:00,14.284,14.489,14.272,14.431,276000
2020-01-03 05:00:00+00:00,14.302,14.489,14.28,14.357,585000
2020-01-06 05:00:00+00:00,14.325,14.546,14.325,14.425,327000
2020-01-07 05:00:00+00:00,14.4,14.537,14.324,14.387,349000
2020-01-08 05:00:00+00:00,14.395,14.547,14.207,14.371,395000
2020-01-09 05:00:00+00:00,14.445,14.532,14.291,14.35,642000
2020-01-10 05:00:00+00:00,14.414,14.516,14.215,14.239,411000
2020-01-13 05:00:00+00:00,14.252,14.531,14.252,14.459,490000
2020-01-14 05:00:00+00:00,14.469,14.568,14.407,14.477,468000
2020-01-15 05:00:00+00:00,14.483,14.705,14.483,14.627,535000
2020-01-16 05:00:00+00:00,14.712,14.796,14.608,14.672,357000
2020-01-17 05:00:00+00:00,14.747,14.747,14.622,14.674,336000
2020-01-21 05:00:00+00:00,14.629,14.757,14.513,14.595,533000
2020-01-22 05:00:00+00:00,14.694,14.734,14.564,14.592,458000
2020-01-23 05:00:00+00:00,14.577,14.666,14.548,14.574,455000
2020-01-24 05:00:00+00:00,14.614,14.674,14.278,14.316,393000
2020-01-27 05:00:00+00:00,14.152,14.379,14.125,14.253,517000
2020-01-28 05:00:00+00:00,14.302,14.454,14.13,14.4,606000
2020-01-29 05:00:00+00:00,15.7,16.5,15.231,15.26,2547000
2020-01-30 05:00:00+00:00,15.341,15.71,15.134,15.27,1048000
2020-01-31 05:00:00+00:00,15.264,15.476,15.151,15.203,1011000
2020-02-03 05:00:00+00:00,15.245,15.609,14.901,14.948,1018000
2020-02-04 05:00:00+00:00,15.063,15.254,15.046,15.181,871000
2020-02-05 05:00:00+00:00,15.283,15.331,15.084,15.284,961000
2020-02-06 05:00:00+00:00,15.276,15.385,15.195,15.224,561000
2020-02-07 05:00:00+00:00,15.129,15.357,15.12,15.266,746000
2020-02-10 05:00:00+00:00,15.306,15.357,15.112,15.145,285000
2020-02-11 05:00:00+00:00,15.17,15.334,15.122,15.21,480000
2020-02-12 05:00:00+00:00,15.244,15.354,14.945,14.984,543000
2020-02-13 05:00:00+00:00,14.928,14.973,14.693,14.807,599000
2020-02-14 05:00:00+00:00,14.832,14.968,14.712,14.884,565000
2020-02-18 05:00:00+00:00,14.863,14.867,14.753,14.797,234000
2020-02-19 05:00:00+00:00,14.826,15.017,14.816,14.96,454000
2020-02-20 05:00:00+00:00,14.915,15.028,14.821,14.98,923000
2020-02-21 05:00:00+00:00,14.955,15.068,14.916,14.995,597000
2020-02-24 05:00:00+00:00,14.632,14.786,14.381,14.588,530000
2020-02-25 05:00:00+00:00,14.571,14.586,14.005,14.005,990000
2020-02-26 05:00:00+00:00,14.064,14.241,14.006,14.012,507000
2020-02-27 05:00:00+00:00,13.757,14.072,13.61,13.622,708000
2020-02-28 05:00:00+00:00,13.34,13.6,13.262,13.516,997000
2020-03-02 05:00:00+00:00,13.573,13.773,13.516,13.672,748000
