Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,51.17,51.3,49.75,49.82,16633600
2019-09-20 04:00:00+00:00,50.34,50.45,48.77,49.16,23195000
2019-09-23 04:00:00+00:00,49.54,50.19,49.48,49.6,16198500
2019-09-24 04:00:00+00:00,49.74,49.9,48.05,48.51,24959000
2019-09-25 04:00:00+00:00,48.47,49.7,47.86,49.47,23571800
2019-09-26 04:00:00+00:00,49.38,49.74,48.13,48.6,33341000
2019-09-27 04:00:00+00:00,45.9,45.92,42.91,43.21,75941400
2019-09-30 04:00:00+00:00,43.0,43.47,42.58,42.85,31423100
2019-10-01 04:00:00+00:00,43.1,43.34,41.75,42.3,28087300
2019-10-02 04:00:00+00:00,41.82,42.67,41.76,41.98,26408500
2019-10-03 04:00:00+00:00,42.0,43.49,41.76,43.46,23627100
2019-10-04 04:00:00+00:00,43.71,44.62,43.29,44.55,21860000
2019-10-07 04:00:00+00:00,44.3,44.73,44.06,44.16,14911600
2019-10-08 04:00:00+00:00,43.6,43.84,42.62,42.64,20664600
2019-10-09 04:00:00+00:00,43.18,43.38,42.83,42.88,12784000
2019-10-10 04:00:00+00:00,42.87,43.79,42.61,43.28,15572600
2019-10-11 04:00:00+00:00,44.39,45.82,44.28,45.1,27483700
2019-10-14 04:00:00+00:00,44.96,45.33,44.8,44.86,12443300
2019-10-15 04:00:00+00:00,45.21,46.55,45.04,46.46,17767700
2019-10-16 04:00:00+00:00,45.99,46.55,45.08,45.16,16646900
2019-10-17 04:00:00+00:00,45.77,46.12,45.28,45.5,11718700
2019-10-18 04:00:00+00:00,44.83,44.98,43.23,43.47,26215300
2019-10-21 04:00:00+00:00,43.96,45.3,43.92,45.22,15473700
2019-10-22 04:00:00+00:00,45.3,45.7,44.62,44.66,13802400
2019-10-23 04:00:00+00:00,44.05,44.82,43.95,44.66,13959200
2019-10-24 04:00:00+00:00,45.9,47.16,45.58,47.1,25760200
2019-10-25 04:00:00+00:00,47.28,48.27,46.92,48.03,19855300
2019-10-28 04:00:00+00:00,48.5,48.75,48.23,48.69,15240000
2019-10-29 04:00:00+00:00,48.8,49.17,48.06,48.11,12183600
2019-10-30 04:00:00+00:00,48.22,48.34,47.26,47.88,12932800
2019-10-31 04:00:00+00:00,47.28,47.88,46.46,47.55,15445800
2019-11-01 04:00:00+00:00,47.48,48.54,47.25,48.38,18311700
