Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,20.0,20.48,18.31,18.75,8514900
2019-09-20 04:00:00+00:00,18.9,20.0,18.77,19.87,3598300
2019-09-23 04:00:00+00:00,20.09,21.22,19.58,20.96,3524000
2019-09-24 04:00:00+00:00,21.51,22.08,19.67,20.71,5008100
2019-09-25 04:00:00+00:00,20.88,21.2,20.1,20.52,2624900
2019-09-26 04:00:00+00:00,20.52,20.61,18.71,19.55,3126200
2019-09-27 04:00:00+00:00,19.41,19.731,18.0,18.24,3289700
2019-09-30 04:00:00+00:00,18.25,18.73,17.51,18.57,2313000
2019-10-01 04:00:00+00:00,18.72,18.72,16.62,16.84,2619200
2019-10-02 04:00:00+00:00,16.49,17.3,15.51,17.25,3317500
2019-10-03 04:00:00+00:00,17.02,17.38,16.52,16.78,2462400
2019-10-04 04:00:00+00:00,17.12,17.45,16.6,17.27,1575900
2019-10-07 04:00:00+00:00,17.27,17.6,16.911,17.04,1427100
2019-10-08 04:00:00+00:00,16.76,17.7,16.55,17.19,1310500
2019-10-09 04:00:00+00:00,17.46,17.54,16.92,17.34,832600
2019-10-10 04:00:00+00:00,17.26,17.26,16.25,16.33,1885900
2019-10-11 04:00:00+00:00,16.32,16.61,16.11,16.47,1456200
2019-10-14 04:00:00+00:00,16.5,16.5,15.68,15.69,1292100
2019-10-15 04:00:00+00:00,15.68,16.43,15.68,16.36,885300
2019-10-16 04:00:00+00:00,16.31,16.43,15.83,15.85,1117300
2019-10-17 04:00:00+00:00,15.88,16.35,15.83,15.91,938700
2019-10-18 04:00:00+00:00,15.93,16.17,15.25,15.29,835500
2019-10-21 04:00:00+00:00,15.37,15.69,14.5,14.97,1125000
2019-10-22 04:00:00+00:00,15.04,15.13,14.52,14.62,1207100
2019-10-23 04:00:00+00:00,14.63,15.24,14.63,14.73,894500
2019-10-24 04:00:00+00:00,14.85,15.93,14.8,15.84,1116400
2019-10-25 04:00:00+00:00,15.79,16.3,15.69,16.17,1023400
2019-10-28 04:00:00+00:00,16.3,16.41,15.8,16.03,1184700
2019-10-29 04:00:00+00:00,16.12,16.24,15.58,15.72,752700
2019-10-30 04:00:00+00:00,15.75,16.77,15.73,16.73,1092500
2019-10-31 04:00:00+00:00,16.75,16.97,16.32,16.84,918100
2019-11-01 04:00:00+00:00,16.92,17.19,16.7,16.83,705600
2019-11-04 05:00:00+00:00,17.34,17.48,16.892,17.37,996600
2019-11-05 05:00:00+00:00,17.44,17.49,16.84,17.1,849500
2019-11-06 05:00:00+00:00,16.99,17.1,16.16,16.22,1055900
2019-11-07 05:00:00+00:00,16.47,16.84,15.55,15.89,1403800
2019-11-08 05:00:00+00:00,16.3,16.596,15.585,16.12,1498700
2019-11-11 05:00:00+00:00,15.94,16.466,15.94,16.23,504000
2019-11-12 05:00:00+00:00,16.26,16.374,16.02,16.16,339000
2019-11-13 05:00:00+00:00,16.0,16.38,15.78,16.26,713200
2019-11-14 05:00:00+00:00,16.12,16.75,16.0,16.67,659300
2019-11-15 05:00:00+00:00,16.75,17.12,16.64,16.74,815100
2019-11-18 05:00:00+00:00,16.79,16.99,16.51,16.89,460800
2019-11-19 05:00:00+00:00,16.92,16.97,16.22,16.3,859100
2019-11-20 05:00:00+00:00,16.2,17.09,16.18,16.92,761600
2019-11-21 05:00:00+00:00,16.97,17.45,16.918,17.36,1010500
2019-11-22 05:00:00+00:00,17.45,17.99,17.3,17.77,1062400
2019-11-25 05:00:00+00:00,17.8,18.22,17.74,18.07,786700
2019-11-26 05:00:00+00:00,18.2,18.83,18.07,18.79,1326400
2019-11-27 05:00:00+00:00,18.85,19.8,18.568,19.61,1662600
2019-11-29 05:00:00+00:00,19.4,19.62,19.131,19.48,496500
2019-12-02 05:00:00+00:00,19.37,19.44,18.198,18.94,1720000
2019-12-03 05:00:00+00:00,18.25,19.16,18.11,18.95,856100
2019-12-04 05:00:00+00:00,19.1,19.4,18.83,18.96,992800
2019-12-05 05:00:00+00:00,18.91,19.15,17.72,17.73,1145600
2019-12-06 05:00:00+00:00,18.25,18.5,17.95,18.48,878700
2019-12-09 05:00:00+00:00,18.45,18.57,17.27,17.71,923600
2019-12-10 05:00:00+00:00,17.7,18.063,17.43,17.67,453300
2019-12-11 05:00:00+00:00,17.63,17.705,17.05,17.17,611900
2019-12-12 05:00:00+00:00,17.12,17.69,16.92,17.66,545500
2019-12-13 05:00:00+00:00,17.62,18.195,17.33,17.95,704700
2019-12-16 05:00:00+00:00,18.2,18.7,18.06,18.37,882100
2019-12-17 05:00:00+00:00,18.25,19.2,17.42,17.61,1186000
2019-12-18 05:00:00+00:00,17.55,17.759,17.38,17.39,772400
2019-12-19 05:00:00+00:00,17.4,18.15,17.4,18.0,580000
2019-12-20 05:00:00+00:00,18.3,18.7,17.8,18.12,4174000
2019-12-23 05:00:00+00:00,18.29,18.29,17.28,17.34,981300
2019-12-24 05:00:00+00:00,17.46,17.545,17.2,17.35,354500
2019-12-26 05:00:00+00:00,17.24,17.55,17.15,17.18,498900
2019-12-27 05:00:00+00:00,17.09,17.24,16.635,16.69,790400
2019-12-30 05:00:00+00:00,16.7,17.24,16.2,17.21,890500
2019-12-31 05:00:00+00:00,17.09,17.26,16.8,17.06,927700
2020-01-02 05:00:00+00:00,17.24,17.35,16.8,17.03,706100
2020-01-03 05:00:00+00:00,16.96,17.33,16.82,17.17,594400
2020-01-06 05:00:00+00:00,17.15,17.95,16.98,17.69,1261700
2020-01-07 05:00:00+00:00,17.67,17.849,17.3,17.67,565900
2020-01-08 05:00:00+00:00,17.65,18.0,17.5,17.78,543600
2020-01-09 05:00:00+00:00,18.12,18.12,17.0,17.02,922000
2020-01-10 05:00:00+00:00,17.26,17.64,17.1,17.48,653500
2020-01-13 05:00:00+00:00,17.7,18.54,17.63,18.36,839100
2020-01-14 05:00:00+00:00,18.52,18.85,18.11,18.7,775100
2020-01-15 05:00:00+00:00,18.7,19.3,18.7,18.85,1229200
2020-01-16 05:00:00+00:00,19.11,19.24,18.64,18.96,700400
2020-01-17 05:00:00+00:00,19.14,19.3,18.4,18.6,542700
2020-01-21 05:00:00+00:00,18.56,18.9,18.0,18.0,635700
2020-01-22 05:00:00+00:00,18.19,18.49,17.98,18.05,526500
2020-01-23 05:00:00+00:00,18.05,18.18,17.76,18.17,407100
2020-01-24 05:00:00+00:00,18.18,18.68,17.72,17.77,648900
2020-01-27 05:00:00+00:00,17.34,17.86,17.02,17.82,666400
2020-01-28 05:00:00+00:00,17.77,18.13,17.63,18.08,481600
2020-01-29 05:00:00+00:00,18.19,18.27,17.59,17.59,451800
