Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,88.4,88.72,87.51,87.7,4231200
2019-09-20 04:00:00+00:00,88.0,88.49,86.67,86.68,6991100
2019-09-23 04:00:00+00:00,86.98,88.02,86.8,87.69,4790000
2019-09-24 04:00:00+00:00,88.45,88.69,86.76,87.18,10202900
2019-09-25 04:00:00+00:00,91.78,92.79,90.15,90.81,25330700
2019-09-26 04:00:00+00:00,91.62,92.45,90.25,92.17,10408300
2019-09-27 04:00:00+00:00,91.85,92.86,91.6,92.31,6420500
2019-09-30 04:00:00+00:00,92.53,94.08,92.5,93.92,7401200
2019-10-01 04:00:00+00:00,94.13,94.75,92.06,92.28,8464900
2019-10-02 04:00:00+00:00,91.47,91.84,90.57,91.49,6933900
2019-10-03 04:00:00+00:00,91.31,92.32,90.35,92.22,5762300
2019-10-04 04:00:00+00:00,92.22,93.17,91.93,93.07,4551400
2019-10-07 04:00:00+00:00,92.5,93.92,92.4,93.17,4975400
2019-10-08 04:00:00+00:00,90.45,92.71,90.41,91.75,6916800
2019-10-09 04:00:00+00:00,92.41,93.05,91.82,92.52,5115900
2019-10-10 04:00:00+00:00,93.5,93.5,92.72,93.0,5794100
2019-10-11 04:00:00+00:00,94.0,94.57,93.56,93.88,6220100
2019-10-14 04:00:00+00:00,94.2,95.25,94.05,94.88,4636000
2019-10-15 04:00:00+00:00,95.0,95.18,94.12,94.79,4292500
2019-10-16 04:00:00+00:00,94.09,95.14,94.07,94.88,4883300
2019-10-17 04:00:00+00:00,95.57,95.89,94.97,95.56,3427400
2019-10-18 04:00:00+00:00,94.81,96.46,94.8,96.1,6209200
2019-10-21 04:00:00+00:00,96.61,96.87,95.42,96.22,5185800
2019-10-22 04:00:00+00:00,96.06,96.83,95.52,95.6,5470100
2019-10-23 04:00:00+00:00,95.03,95.54,92.12,92.32,11933600
2019-10-24 04:00:00+00:00,92.68,92.87,90.99,91.5,12085800
2019-10-25 04:00:00+00:00,91.44,91.83,90.75,90.92,8147200
2019-10-28 04:00:00+00:00,91.06,91.3,90.17,90.85,10304700
2019-10-29 04:00:00+00:00,90.85,90.92,89.13,89.28,9044700
2019-10-30 04:00:00+00:00,89.45,90.27,89.35,90.19,8127500
2019-10-31 04:00:00+00:00,90.0,90.41,88.94,89.55,6752000
2019-11-01 04:00:00+00:00,90.18,90.53,89.0,89.18,5263600
2019-11-04 05:00:00+00:00,90.13,90.56,89.32,89.86,8161200
2019-11-05 05:00:00+00:00,90.15,90.34,89.54,89.88,5589700
2019-11-06 05:00:00+00:00,90.64,90.72,88.74,89.48,7033800
2019-11-07 05:00:00+00:00,90.47,90.6,89.77,90.4,7110000
2019-11-08 05:00:00+00:00,90.28,90.35,89.29,89.81,4555400
2019-11-11 05:00:00+00:00,89.37,90.1,89.37,90.05,3247300
2019-11-12 05:00:00+00:00,90.31,92.03,89.49,89.5,3979600
2019-11-13 05:00:00+00:00,89.73,91.55,89.57,91.29,5923600
2019-11-14 05:00:00+00:00,91.49,91.96,90.72,91.27,6035300
2019-11-15 05:00:00+00:00,92.14,93.56,91.96,93.04,6785500
2019-11-18 05:00:00+00:00,93.5,94.26,92.91,94.18,6165600
2019-11-19 05:00:00+00:00,94.61,95.12,93.06,93.61,5368400
2019-11-20 05:00:00+00:00,94.11,94.4,92.77,93.05,6235400
2019-11-21 05:00:00+00:00,92.62,93.3,92.07,92.16,5493100
2019-11-22 05:00:00+00:00,92.21,93.35,91.93,93.34,4264400
2019-11-25 05:00:00+00:00,93.78,93.97,92.74,92.9,5419700
2019-11-26 05:00:00+00:00,93.38,93.63,93.02,93.33,5907400
2019-11-27 05:00:00+00:00,93.5,94.38,93.5,94.14,4017400
2019-11-29 05:00:00+00:00,94.37,94.61,93.39,93.49,2541800
2019-12-02 05:00:00+00:00,94.09,94.28,92.98,93.56,3892000
2019-12-03 05:00:00+00:00,92.48,92.55,91.31,92.46,5570700
2019-12-04 05:00:00+00:00,92.81,93.79,92.73,93.72,4456400
2019-12-05 05:00:00+00:00,95.88,95.95,94.68,95.79,6946000
2019-12-06 05:00:00+00:00,96.56,97.31,96.38,97.0,6368500
2019-12-09 05:00:00+00:00,97.02,97.63,96.16,96.63,6517800
2019-12-10 05:00:00+00:00,96.76,97.59,96.63,97.01,4234300
2019-12-11 05:00:00+00:00,96.9,97.32,96.65,97.18,4319700
2019-12-12 05:00:00+00:00,97.32,98.18,96.9,97.72,4762800
2019-12-13 05:00:00+00:00,97.43,98.29,96.91,97.77,5247600
2019-12-16 05:00:00+00:00,98.14,99.34,98.06,98.81,8211300
2019-12-17 05:00:00+00:00,99.38,100.17,99.05,99.65,7050700
2019-12-18 05:00:00+00:00,100.2,100.79,99.58,100.57,7332000
2019-12-19 05:00:00+00:00,100.5,101.27,99.63,101.15,12214500
2019-12-20 05:00:00+00:00,101.0,101.4,98.85,99.96,17641600
2019-12-23 05:00:00+00:00,100.23,100.69,99.55,100.04,6350500
2019-12-24 05:00:00+00:00,99.83,100.66,99.76,100.14,3328100
2019-12-26 05:00:00+00:00,100.34,100.75,100.11,100.71,3709900
2019-12-27 05:00:00+00:00,101.0,101.79,100.99,101.57,5307500
2019-12-30 05:00:00+00:00,101.54,101.61,100.46,100.8,3495200
2019-12-31 05:00:00+00:00,100.58,101.39,100.51,101.31,3213600
2020-01-02 05:00:00+00:00,101.36,102.21,101.02,102.2,5644100
2020-01-03 05:00:00+00:00,100.59,102.0,100.31,101.92,4541800
2020-01-06 05:00:00+00:00,100.95,101.84,100.87,101.83,4612400
2020-01-07 05:00:00+00:00,101.81,102.74,100.81,101.78,6719900
2020-01-08 05:00:00+00:00,101.31,102.14,100.85,101.55,4942200
2020-01-09 05:00:00+00:00,101.94,102.41,101.39,101.48,5007500
2020-01-10 05:00:00+00:00,101.89,101.93,100.76,100.9,5135300
2020-01-13 05:00:00+00:00,101.0,102.34,100.82,102.16,6722400
2020-01-14 05:00:00+00:00,102.45,103.89,102.35,102.92,5088500
2020-01-15 05:00:00+00:00,103.25,103.7,102.48,102.79,4209200
2020-01-16 05:00:00+00:00,102.88,103.57,102.85,103.37,6571700
2020-01-17 05:00:00+00:00,103.43,104.55,103.34,104.53,6271200
2020-01-21 05:00:00+00:00,104.25,104.69,103.81,104.58,4854700
2020-01-22 05:00:00+00:00,105.0,105.62,104.42,104.49,5031400
2020-01-23 05:00:00+00:00,104.03,104.37,102.62,103.02,7102900
2020-01-24 05:00:00+00:00,103.59,103.89,101.66,102.03,3839300
2020-01-27 05:00:00+00:00,98.21,100.71,98.01,100.24,9841400
2020-01-28 05:00:00+00:00,100.34,101.05,99.52,100.41,5673200
2020-01-29 05:00:00+00:00,101.07,101.3,99.17,99.84,4503700
2020-01-30 05:00:00+00:00,99.02,99.75,97.37,98.19,7065100
2020-01-31 05:00:00+00:00,98.11,98.45,95.92,96.3,8780300
2020-02-03 05:00:00+00:00,99.0,100.92,98.57,99.27,9727000
2020-02-04 05:00:00+00:00,101.91,102.78,101.26,101.38,6559600
2020-02-05 05:00:00+00:00,101.76,101.97,99.53,100.54,6108300
2020-02-06 05:00:00+00:00,100.9,101.53,100.16,100.27,5641800
2020-02-07 05:00:00+00:00,99.81,100.4,98.97,99.44,4121800
2020-02-10 05:00:00+00:00,99.22,100.51,99.0,100.02,4213900
2020-02-11 05:00:00+00:00,100.07,100.35,99.44,100.02,4871800
2020-02-12 05:00:00+00:00,100.74,103.08,100.44,103.0,8075600
2020-02-13 05:00:00+00:00,102.51,103.74,101.68,103.37,5386800
2020-02-14 05:00:00+00:00,103.53,103.89,102.45,103.54,4305300
2020-02-18 05:00:00+00:00,103.0,103.38,101.61,102.0,4916200
2020-02-19 05:00:00+00:00,102.66,103.39,102.43,102.46,6200500
2020-02-20 05:00:00+00:00,102.46,102.63,100.55,102.53,6427600
2020-02-21 05:00:00+00:00,102.0,102.08,99.63,100.25,5750900
2020-02-24 05:00:00+00:00,95.54,97.07,95.25,95.91,8364200
2020-02-25 05:00:00+00:00,96.35,96.76,92.62,92.9,9602100
2020-02-26 05:00:00+00:00,93.08,94.65,91.99,92.0,9308400
2020-02-27 05:00:00+00:00,90.0,93.06,88.5,88.55,12825700
2020-02-28 05:00:00+00:00,86.03,89.47,85.15,89.38,16552400
2020-03-02 05:00:00+00:00,89.6,93.14,87.91,92.68,14102000
2020-03-03 05:00:00+00:00,92.74,94.98,90.57,90.93,14767600
2020-03-04 05:00:00+00:00,92.08,93.82,90.84,93.79,6904400
2020-03-05 05:00:00+00:00,91.26,91.68,89.94,90.58,8851100
2020-03-06 05:00:00+00:00,88.36,89.39,85.88,88.36,12336400
2020-03-09 04:00:00+00:00,81.89,86.74,80.92,84.11,13272700
2020-03-10 04:00:00+00:00,86.69,88.4,82.88,88.3,12755900
2020-03-11 04:00:00+00:00,84.0,84.63,82.07,84.0,16172000
2020-03-12 04:00:00+00:00,78.23,78.49,73.0,74.2,21534800
2020-03-13 04:00:00+00:00,78.2,78.2,71.76,75.58,21859600
2020-03-16 04:00:00+00:00,65.28,72.97,63.37,66.79,17976700
2020-03-17 04:00:00+00:00,67.51,73.33,62.4,69.84,17122100
2020-03-18 04:00:00+00:00,64.79,68.33,60.0,68.04,19498800
2020-03-19 04:00:00+00:00,67.04,72.71,64.15,70.34,16177200
2020-03-20 04:00:00+00:00,71.51,74.06,67.2,67.45,15761900
2020-03-23 04:00:00+00:00,65.0,66.88,60.58,62.8,17690000
2020-03-24 04:00:00+00:00,65.7,72.66,64.0,72.33,18849500
