Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,52.39,53.67,52.39,53.37,14855000
2019-09-20 04:00:00+00:00,53.71,54.25,53.42,53.47,59517000
2019-09-23 04:00:00+00:00,53.17,54.17,53.06,54.02,13863100
2019-09-24 04:00:00+00:00,54.14,54.49,53.12,53.35,15354800
2019-09-25 04:00:00+00:00,53.31,53.95,52.89,53.84,11607200
2019-09-26 04:00:00+00:00,54.11,54.33,53.47,53.96,13324300
2019-09-27 04:00:00+00:00,54.19,54.6,53.62,54.09,12391100
2019-09-30 04:00:00+00:00,54.25,55.28,54.05,55.03,17445100
2019-10-01 04:00:00+00:00,55.04,55.64,53.75,53.8,16443200
2019-10-02 04:00:00+00:00,53.5,53.56,52.68,53.15,15923700
2019-10-03 04:00:00+00:00,53.06,53.88,52.94,53.86,11268500
2019-10-04 04:00:00+00:00,54.0,55.18,53.84,55.14,13659500
2019-10-07 04:00:00+00:00,55.07,55.36,54.75,54.8,12352100
2019-10-08 04:00:00+00:00,54.29,54.71,53.77,54.05,14771500
2019-10-09 04:00:00+00:00,54.15,54.99,54.06,54.53,12803100
2019-10-10 04:00:00+00:00,54.45,55.6,54.35,55.49,13789000
2019-10-11 04:00:00+00:00,55.92,57.33,55.71,56.89,18675200
2019-10-14 04:00:00+00:00,56.83,57.21,56.41,56.46,11079600
2019-10-15 04:00:00+00:00,56.63,56.82,56.35,56.35,9150100
2019-10-16 04:00:00+00:00,55.79,56.01,55.55,55.88,8912300
2019-10-17 04:00:00+00:00,56.01,56.24,54.99,55.06,9917700
2019-10-18 04:00:00+00:00,54.95,55.26,54.18,54.55,12562900
2019-10-21 04:00:00+00:00,55.06,55.3,54.82,55.13,8256600
2019-10-22 04:00:00+00:00,55.22,55.43,54.02,54.11,7777100
2019-10-23 04:00:00+00:00,54.0,54.63,53.87,54.13,10491000
2019-10-24 04:00:00+00:00,54.47,54.65,53.94,54.26,6449200
2019-10-25 04:00:00+00:00,54.04,54.42,54.01,54.17,6307000
2019-10-28 04:00:00+00:00,54.35,54.68,54.27,54.64,7280200
2019-10-29 04:00:00+00:00,54.72,55.31,54.56,54.8,8333900
2019-10-30 04:00:00+00:00,55.18,55.18,54.45,54.85,6284900
2019-10-31 04:00:00+00:00,54.72,54.85,54.24,54.49,8260600
2019-11-01 04:00:00+00:00,54.81,55.15,54.55,55.0,7313600
2019-11-04 05:00:00+00:00,55.26,55.75,55.26,55.45,8757000
2019-11-05 05:00:00+00:00,55.76,55.84,55.51,55.67,10759300
2019-11-06 05:00:00+00:00,55.71,55.89,55.6,55.7,10572100
2019-11-07 05:00:00+00:00,55.96,56.63,55.86,55.98,9677700
2019-11-08 05:00:00+00:00,55.98,56.49,55.77,56.49,5869600
2019-11-11 05:00:00+00:00,56.2,56.61,56.18,56.43,5018000
2019-11-12 05:00:00+00:00,56.53,56.85,56.42,56.59,6184900
2019-11-13 05:00:00+00:00,56.21,56.56,56.17,56.21,6802300
2019-11-14 05:00:00+00:00,55.81,56.33,55.64,56.09,9056100
2019-11-15 05:00:00+00:00,56.4,56.56,56.27,56.42,7216900
2019-11-18 05:00:00+00:00,56.56,56.56,55.96,56.19,6923300
2019-11-19 05:00:00+00:00,56.47,56.95,56.26,56.27,7199500
2019-11-20 05:00:00+00:00,56.22,56.62,55.81,56.24,9117000
2019-11-21 05:00:00+00:00,56.22,56.59,56.12,56.23,8067100
2019-11-22 05:00:00+00:00,56.42,57.06,56.25,56.39,6346900
2019-11-25 05:00:00+00:00,56.46,56.68,56.28,56.56,7977700
2019-11-26 05:00:00+00:00,56.75,56.86,56.42,56.51,12076900
2019-11-27 05:00:00+00:00,56.9,56.91,56.38,56.61,5790000
2019-11-29 05:00:00+00:00,56.33,56.49,56.09,56.14,6479400
2019-12-02 05:00:00+00:00,56.23,56.46,55.38,55.43,14314000
2019-12-03 05:00:00+00:00,54.62,54.99,54.46,54.59,11963700
2019-12-04 05:00:00+00:00,54.9,54.9,54.18,54.41,11436800
2019-12-05 05:00:00+00:00,54.5,54.83,54.3,54.68,10557400
2019-12-06 05:00:00+00:00,55.03,55.13,54.61,54.83,9088600
2019-12-09 05:00:00+00:00,54.84,55.48,54.76,55.31,11996700
2019-12-10 05:00:00+00:00,55.4,55.91,55.23,55.82,10719700
2019-12-11 05:00:00+00:00,55.8,56.5,55.65,56.31,12159600
2019-12-12 05:00:00+00:00,56.3,56.66,55.76,56.47,15413200
2019-12-13 05:00:00+00:00,55.0,55.4,54.42,54.51,21427700
2019-12-16 05:00:00+00:00,54.6,54.98,53.7,53.99,19951000
2019-12-17 05:00:00+00:00,53.89,54.06,52.83,52.84,19778400
2019-12-18 05:00:00+00:00,53.06,53.61,52.95,53.39,14123100
2019-12-19 05:00:00+00:00,53.3,53.6,53.04,53.24,11910100
2019-12-20 05:00:00+00:00,53.91,53.95,53.35,53.6,27423700
2019-12-23 05:00:00+00:00,53.65,54.07,53.61,53.71,10591500
2019-12-24 05:00:00+00:00,53.78,53.96,53.36,53.44,3331700
2019-12-26 05:00:00+00:00,53.45,53.66,53.28,53.57,6702000
2019-12-27 05:00:00+00:00,53.66,53.8,53.34,53.46,7262000
2019-12-30 05:00:00+00:00,53.4,53.49,52.62,52.7,5936100
2019-12-31 05:00:00+00:00,52.57,53.0,52.55,52.98,7094500
2020-01-02 05:00:00+00:00,53.27,53.96,53.23,53.95,13899600
2020-01-03 05:00:00+00:00,52.99,54.05,52.95,53.76,11026700
2020-01-06 05:00:00+00:00,53.36,54.2,53.35,54.04,10982400
2020-01-07 05:00:00+00:00,53.89,54.33,53.61,54.16,12015400
2020-01-08 05:00:00+00:00,53.94,54.6,53.7,54.13,11856700
2020-01-09 05:00:00+00:00,54.25,54.8,54.03,54.38,10671000
2020-01-10 05:00:00+00:00,54.55,54.65,54.22,54.45,9734800
2020-01-13 05:00:00+00:00,54.46,54.79,54.36,54.58,10858900
2020-01-14 05:00:00+00:00,54.52,55.18,54.5,54.88,12627200
2020-01-15 05:00:00+00:00,54.88,55.18,54.68,54.76,9090800
2020-01-16 05:00:00+00:00,54.98,55.45,54.93,55.43,9866000
2020-01-17 05:00:00+00:00,55.63,55.69,54.85,55.13,11166600
2020-01-21 05:00:00+00:00,54.98,55.36,54.92,55.22,8773000
2020-01-22 05:00:00+00:00,55.41,55.65,54.6,54.72,6380500
2020-01-23 05:00:00+00:00,54.41,55.0,54.28,54.98,6583200
2020-01-24 05:00:00+00:00,55.06,55.2,53.88,54.07,6426000
2020-01-27 05:00:00+00:00,53.18,53.52,52.63,52.69,8259100
2020-01-28 05:00:00+00:00,52.86,53.68,52.66,53.46,8620300
2020-01-29 05:00:00+00:00,53.78,53.94,53.18,53.2,6332500
2020-01-30 05:00:00+00:00,52.82,53.33,52.28,53.31,7176200
2020-01-31 05:00:00+00:00,53.34,53.49,52.29,52.45,8884700
2020-02-03 05:00:00+00:00,52.73,53.41,52.69,53.09,8892500
