Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,79.24,80.0,78.21,78.23,5180900
2019-09-20 04:00:00+00:00,78.2,78.7,76.17,76.44,9122000
2019-09-23 04:00:00+00:00,76.67,77.91,76.06,77.24,5815700
2019-09-24 04:00:00+00:00,78.08,78.3,74.63,75.23,10177800
2019-09-25 04:00:00+00:00,75.03,77.49,74.88,77.26,5571600
2019-09-26 04:00:00+00:00,77.16,77.69,75.94,77.35,3760300
2019-09-27 04:00:00+00:00,77.01,78.2,76.21,76.63,5013200
2019-09-30 04:00:00+00:00,76.89,76.95,76.02,76.28,4775800
2019-10-01 04:00:00+00:00,77.06,78.06,74.97,75.47,7043700
2019-10-02 04:00:00+00:00,75.26,75.71,73.77,73.99,5997500
2019-10-03 04:00:00+00:00,73.93,75.83,73.16,75.73,5419400
2019-10-04 04:00:00+00:00,76.32,77.56,75.84,77.49,4893600
2019-10-07 04:00:00+00:00,77.01,77.55,76.27,76.34,4215500
2019-10-08 04:00:00+00:00,75.52,75.82,72.81,72.85,8489600
2019-10-09 04:00:00+00:00,73.91,74.8,73.56,74.35,5137500
2019-10-10 04:00:00+00:00,74.35,75.97,74.17,74.97,5580600
2019-10-11 04:00:00+00:00,76.19,77.82,76.01,76.7,7280800
2019-10-14 04:00:00+00:00,76.65,77.37,76.28,76.3,4545300
2019-10-15 04:00:00+00:00,76.88,77.98,76.28,77.82,5222500
2019-10-16 04:00:00+00:00,77.49,78.32,77.28,78.23,6218000
2019-10-17 04:00:00+00:00,78.7,79.96,78.4,78.97,5916700
2019-10-18 04:00:00+00:00,78.62,79.22,77.67,77.68,6107000
2019-10-21 04:00:00+00:00,78.38,79.09,78.01,78.98,5119800
2019-10-22 04:00:00+00:00,78.93,79.07,78.24,78.47,4944500
2019-10-23 04:00:00+00:00,77.21,78.13,76.87,77.24,5785700
2019-10-24 04:00:00+00:00,78.06,79.02,77.59,78.99,5271200
2019-10-25 04:00:00+00:00,79.0,80.23,78.91,80.17,6712300
2019-10-28 04:00:00+00:00,80.55,83.13,80.54,83.05,9949800
2019-10-29 04:00:00+00:00,82.75,82.85,81.44,81.66,4993600
2019-10-30 04:00:00+00:00,82.1,82.25,80.85,81.44,3971000
2019-10-31 04:00:00+00:00,81.44,81.47,79.84,80.44,5693700
2019-11-01 04:00:00+00:00,81.59,83.65,81.25,83.58,8620300
2019-11-04 05:00:00+00:00,84.54,85.87,84.31,85.09,8389200
2019-11-05 05:00:00+00:00,85.2,85.74,84.73,85.46,7280000
2019-11-06 05:00:00+00:00,85.34,85.61,84.22,84.63,9755300
2019-11-07 05:00:00+00:00,89.83,92.5,88.32,89.98,30254000
2019-11-08 05:00:00+00:00,89.98,94.11,89.6,94.03,16371300
2019-11-11 05:00:00+00:00,91.71,92.52,90.89,91.84,11297700
2019-11-12 05:00:00+00:00,92.18,92.25,90.17,90.97,9332100
2019-11-13 05:00:00+00:00,90.7,91.9,89.62,90.47,9353200
2019-11-14 05:00:00+00:00,90.31,90.58,89.43,90.48,8793600
2019-11-15 05:00:00+00:00,92.6,93.94,90.58,90.81,25490200
2019-11-18 05:00:00+00:00,90.81,91.98,89.28,90.48,10360500
2019-11-19 05:00:00+00:00,91.25,91.39,86.68,87.96,18091300
2019-11-20 05:00:00+00:00,87.82,88.36,85.31,85.62,13045100
2019-11-21 05:00:00+00:00,84.79,86.3,84.55,85.11,10180400
2019-11-22 05:00:00+00:00,85.29,85.82,84.53,84.89,6166700
2019-11-25 05:00:00+00:00,85.76,86.29,85.08,85.29,8964100
2019-11-26 05:00:00+00:00,85.25,85.55,84.14,84.63,11584500
2019-11-27 05:00:00+00:00,85.16,85.31,84.47,84.8,5215000
2019-11-29 05:00:00+00:00,84.51,85.1,83.42,83.55,3882400
2019-12-02 05:00:00+00:00,83.98,84.29,82.31,82.45,7668800
2019-12-03 05:00:00+00:00,81.38,81.39,79.81,80.58,11126100
2019-12-04 05:00:00+00:00,80.92,82.44,80.45,82.08,8477400
2019-12-05 05:00:00+00:00,82.65,83.44,81.78,82.59,6358300
2019-12-06 05:00:00+00:00,83.45,84.25,83.42,83.82,6860400
2019-12-09 05:00:00+00:00,84.0,85.3,83.84,84.92,8382900
2019-12-10 05:00:00+00:00,85.04,85.33,83.69,84.12,8082200
2019-12-11 05:00:00+00:00,84.84,87.1,84.76,86.99,9571500
2019-12-12 05:00:00+00:00,86.84,89.23,86.37,89.05,12164600
2019-12-13 05:00:00+00:00,88.91,89.7,87.56,87.83,12269100
2019-12-16 05:00:00+00:00,89.28,90.46,88.35,88.43,8719100
2019-12-17 05:00:00+00:00,89.0,89.04,87.68,88.32,7485900
2019-12-18 05:00:00+00:00,88.54,88.65,87.59,87.98,5860600
2019-12-19 05:00:00+00:00,88.36,88.7,87.62,88.49,7471400
2019-12-20 05:00:00+00:00,88.82,89.85,88.18,88.85,17538000
2019-12-23 05:00:00+00:00,89.01,89.33,88.25,88.45,7274700
2019-12-24 05:00:00+00:00,88.62,88.81,87.98,88.77,2435200
2019-12-26 05:00:00+00:00,88.92,88.96,88.0,88.4,5070000
2019-12-27 05:00:00+00:00,88.9,88.95,88.09,88.8,5808900
2019-12-30 05:00:00+00:00,88.71,88.78,87.31,88.43,6543100
2019-12-31 05:00:00+00:00,87.99,88.77,87.88,88.23,5173400
