Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,1.96,1.97,1.95,1.955,210000
2019-09-20 04:00:00+00:00,1.955,1.975,1.955,1.975,603000
2019-09-23 04:00:00+00:00,1.965,1.989,1.96,1.961,1571000
2019-09-24 04:00:00+00:00,1.958,1.965,1.931,1.958,2652000
2019-09-25 04:00:00+00:00,1.93,1.93,1.857,1.928,203000
2019-09-26 04:00:00+00:00,1.899,1.925,1.875,1.884,733000
2019-09-27 04:00:00+00:00,1.919,1.934,1.885,1.91,410000
2019-09-30 04:00:00+00:00,1.885,1.924,1.885,1.92,161000
2019-10-01 04:00:00+00:00,1.92,1.948,1.91,1.94,1945000
2019-10-02 04:00:00+00:00,1.92,1.925,1.905,1.925,165000
2019-10-03 04:00:00+00:00,1.915,1.925,1.91,1.92,492000
2019-10-04 04:00:00+00:00,1.915,1.945,1.905,1.935,298000
2019-10-07 04:00:00+00:00,1.915,1.948,1.915,1.94,2933000
2019-10-08 04:00:00+00:00,1.931,1.935,1.9,1.901,1333000
2019-10-09 04:00:00+00:00,1.906,1.906,1.886,1.9,809000
2019-10-10 04:00:00+00:00,1.899,1.9,1.876,1.9,198000
2019-10-11 04:00:00+00:00,1.891,1.891,1.891,1.891,13000
2019-10-14 04:00:00+00:00,1.875,1.885,1.855,1.875,516000
2019-10-15 04:00:00+00:00,1.876,1.885,1.862,1.882,1266000
2019-10-16 04:00:00+00:00,1.899,1.945,1.862,1.943,1605000
2019-10-17 04:00:00+00:00,1.949,1.968,1.949,1.955,1060000
2019-10-18 04:00:00+00:00,1.974,1.975,1.92,1.92,588000
2019-10-21 04:00:00+00:00,1.976,1.976,1.926,1.971,1652000
2019-10-22 04:00:00+00:00,1.972,2.002,1.971,1.994,713000
2019-10-23 04:00:00+00:00,1.995,1.999,1.951,1.998,227000
2019-10-24 04:00:00+00:00,1.998,2.085,1.99,2.06,412000
2019-10-25 04:00:00+00:00,2.085,2.093,2.037,2.087,700000
2019-10-28 04:00:00+00:00,2.086,2.14,2.086,2.12,2527000
2019-10-29 04:00:00+00:00,2.1,2.144,2.1,2.101,1033000
2019-10-30 04:00:00+00:00,2.1,2.125,2.037,2.037,1254000
2019-10-31 04:00:00+00:00,2.038,2.098,2.037,2.068,608000
2019-11-01 04:00:00+00:00,2.05,2.06,2.03,2.05,1686000
2019-11-04 05:00:00+00:00,2.05,2.06,2.045,2.053,465000
2019-11-05 05:00:00+00:00,2.04,2.135,2.04,2.08,521000
2019-11-06 05:00:00+00:00,2.09,2.11,2.07,2.07,287000
2019-11-07 05:00:00+00:00,2.001,2.098,2.001,2.09,634000
2019-11-08 05:00:00+00:00,2.098,2.125,2.09,2.125,742000
2019-11-11 05:00:00+00:00,2.1,2.19,2.1,2.137,708000
2019-11-12 05:00:00+00:00,2.137,2.15,2.135,2.145,411000
2019-11-13 05:00:00+00:00,2.137,2.155,2.135,2.15,458000
2019-11-14 05:00:00+00:00,2.135,2.155,2.1,2.155,1397000
2019-11-15 05:00:00+00:00,2.155,2.249,2.15,2.218,1460000
2019-11-18 05:00:00+00:00,2.16,2.205,2.16,2.187,646000
2019-11-19 05:00:00+00:00,2.16,2.187,2.13,2.145,323000
2019-11-20 05:00:00+00:00,2.13,2.15,2.09,2.11,393000
2019-11-21 05:00:00+00:00,2.205,2.205,2.04,2.1,341000
2019-11-22 05:00:00+00:00,2.05,2.13,2.027,2.1,874000
2019-11-25 05:00:00+00:00,2.135,2.135,2.075,2.125,1261000
2019-11-26 05:00:00+00:00,2.14,2.155,2.125,2.15,2116000
2019-11-27 05:00:00+00:00,2.101,2.15,2.072,2.15,123000
2019-11-29 05:00:00+00:00,2.103,2.164,2.1,2.13,30000
2019-12-02 05:00:00+00:00,2.13,2.15,2.13,2.15,338000
2019-12-03 05:00:00+00:00,2.125,2.16,2.125,2.16,961000
2019-12-04 05:00:00+00:00,2.159,2.162,2.145,2.155,2131000
2019-12-05 05:00:00+00:00,2.15,2.152,2.145,2.15,1341000
2019-12-06 05:00:00+00:00,2.153,2.16,2.14,2.16,1703000
2019-12-09 05:00:00+00:00,2.16,2.215,2.16,2.203,2339000
2019-12-10 05:00:00+00:00,2.2,2.205,2.111,2.2,2364000
2019-12-11 05:00:00+00:00,2.061,2.2,2.061,2.17,1885000
2019-12-12 05:00:00+00:00,2.17,2.2,2.17,2.2,790000
2019-12-13 05:00:00+00:00,2.207,2.209,2.2,2.206,187000
2019-12-16 05:00:00+00:00,2.2,2.27,2.195,2.252,945000
2019-12-17 05:00:00+00:00,2.255,2.267,2.248,2.25,606000
2019-12-18 05:00:00+00:00,2.26,2.263,2.205,2.247,194000
2019-12-19 05:00:00+00:00,2.244,2.28,2.238,2.265,1233000
2019-12-20 05:00:00+00:00,2.295,2.526,2.291,2.465,3664000
2019-12-23 05:00:00+00:00,2.48,2.525,2.335,2.42,2149000
2019-12-24 05:00:00+00:00,2.408,2.408,2.38,2.39,5177000
2019-12-26 05:00:00+00:00,2.351,2.39,2.35,2.38,1770000
2019-12-27 05:00:00+00:00,2.35,2.43,2.35,2.41,4273000
2019-12-30 05:00:00+00:00,2.415,2.419,2.399,2.4,1211000
2019-12-31 05:00:00+00:00,2.4,2.411,2.394,2.402,1093000
2020-01-02 05:00:00+00:00,2.385,2.418,2.342,2.363,4178000
2020-01-03 05:00:00+00:00,2.34,2.374,2.34,2.344,302000
2020-01-06 05:00:00+00:00,2.34,2.35,2.323,2.327,933000
2020-01-07 05:00:00+00:00,2.301,2.345,2.301,2.31,387000
2020-01-08 05:00:00+00:00,2.305,2.32,2.3,2.307,3537000
2020-01-09 05:00:00+00:00,2.307,2.329,2.307,2.32,2098000
2020-01-10 05:00:00+00:00,2.436,2.685,2.431,2.609,8350000
2020-01-13 05:00:00+00:00,2.625,2.865,2.625,2.851,5657000
2020-01-14 05:00:00+00:00,2.95,3.0,2.7,2.772,3661000
2020-01-15 05:00:00+00:00,2.71,2.8,2.685,2.77,4135000
2020-01-16 05:00:00+00:00,2.85,2.9,2.8,2.861,6685000
2020-01-17 05:00:00+00:00,2.87,2.88,2.823,2.867,3536000
2020-01-21 05:00:00+00:00,2.862,2.9,2.833,2.859,2413000
2020-01-22 05:00:00+00:00,2.875,2.942,2.851,2.91,3241000
2020-01-23 05:00:00+00:00,2.911,2.912,2.848,2.879,1146000
2020-01-24 05:00:00+00:00,2.929,2.93,2.864,2.894,1747000
2020-01-27 05:00:00+00:00,2.871,2.885,2.812,2.871,1572000
2020-01-28 05:00:00+00:00,2.881,2.901,2.87,2.881,964000
2020-01-29 05:00:00+00:00,2.871,2.922,2.858,2.878,1602000
2020-01-30 05:00:00+00:00,2.9,2.906,2.817,2.875,2483000
2020-01-31 05:00:00+00:00,2.862,2.884,2.774,2.796,1375000
2020-02-03 05:00:00+00:00,2.796,2.9,2.796,2.866,1679000
2020-02-04 05:00:00+00:00,2.901,2.925,2.87,2.921,2141000
2020-02-05 05:00:00+00:00,2.922,2.957,2.922,2.946,1552000
2020-02-06 05:00:00+00:00,2.952,2.968,2.807,2.826,2473000
2020-02-07 05:00:00+00:00,2.741,2.874,2.45,2.755,7677000
2020-02-10 05:00:00+00:00,2.75,2.927,2.744,2.911,2936000
2020-02-11 05:00:00+00:00,2.795,2.909,2.785,2.899,4753000
2020-02-12 05:00:00+00:00,2.873,2.917,2.837,2.904,4114000
2020-02-13 05:00:00+00:00,2.856,2.907,2.822,2.869,2968000
2020-02-14 05:00:00+00:00,2.87,2.871,2.784,2.802,3634000
2020-02-18 05:00:00+00:00,2.757,2.824,2.7,2.753,2758000
2020-02-19 05:00:00+00:00,2.765,2.77,2.708,2.756,2357000
2020-02-20 05:00:00+00:00,2.756,2.8,2.72,2.786,3246000
2020-02-21 05:00:00+00:00,2.745,2.805,2.733,2.774,3419000
2020-02-24 05:00:00+00:00,2.649,2.75,2.628,2.695,2804000
2020-02-25 05:00:00+00:00,2.685,2.698,2.622,2.637,2876000
2020-02-26 05:00:00+00:00,2.628,2.72,2.616,2.653,2573000
2020-02-27 05:00:00+00:00,2.6,2.64,2.512,2.576,5245000
2020-02-28 05:00:00+00:00,2.5,2.541,2.46,2.538,3961000
2020-03-02 05:00:00+00:00,2.561,2.619,2.539,2.615,2954000
2020-03-03 05:00:00+00:00,2.611,2.691,2.552,2.61,3081000
2020-03-04 05:00:00+00:00,2.651,2.723,2.627,2.667,3932000
