Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,34.2,34.64,33.68,33.82,6869600
2019-09-20 04:00:00+00:00,33.98,34.217,32.5,32.6,11935400
2019-09-23 04:00:00+00:00,32.52,33.01,32.06,33.0,5513000
2019-09-24 04:00:00+00:00,33.0,33.145,31.01,31.3,10579900
2019-09-25 04:00:00+00:00,31.27,31.72,30.76,31.68,7875000
2019-09-26 04:00:00+00:00,31.72,32.13,31.13,31.57,6058700
2019-09-27 04:00:00+00:00,31.71,31.9,30.13,30.29,11846700
2019-09-30 04:00:00+00:00,30.4,30.735,30.17,30.47,4986600
2019-10-01 04:00:00+00:00,30.37,30.51,28.65,29.15,13380200
2019-10-02 04:00:00+00:00,28.67,29.55,28.31,29.0,8782400
2019-10-03 04:00:00+00:00,28.97,29.88,28.52,29.72,9412000
2019-10-04 04:00:00+00:00,29.9,30.18,28.9,29.67,8597700
2019-10-07 04:00:00+00:00,30.6,30.75,29.83,30.37,10083800
2019-10-08 04:00:00+00:00,30.01,30.15,29.17,29.28,7769100
2019-10-09 04:00:00+00:00,29.62,29.62,28.81,29.07,7112900
2019-10-10 04:00:00+00:00,29.21,29.28,28.58,28.87,7716300
2019-10-11 04:00:00+00:00,28.95,30.4,28.94,30.13,10216900
2019-10-14 04:00:00+00:00,30.22,31.54,29.819,31.12,7945400
2019-10-15 04:00:00+00:00,31.2,32.17,31.195,32.0,7843800
2019-10-16 04:00:00+00:00,31.8,32.38,31.438,31.87,7781600
2019-10-17 04:00:00+00:00,31.8,32.93,31.45,32.62,7200800
2019-10-18 04:00:00+00:00,32.55,32.66,31.27,32.06,7844500
2019-10-21 04:00:00+00:00,31.95,32.283,31.185,31.41,7203400
2019-10-22 04:00:00+00:00,31.41,33.89,30.22,32.53,19214800
2019-10-23 04:00:00+00:00,32.87,33.27,32.17,33.05,6709800
2019-10-24 04:00:00+00:00,33.0,33.42,32.51,33.28,6729300
2019-10-25 04:00:00+00:00,33.2,33.48,32.61,32.71,8077300
2019-10-28 04:00:00+00:00,32.9,33.355,32.5,33.22,7532800
2019-10-29 04:00:00+00:00,32.37,32.92,31.815,32.42,9319200
2019-10-30 04:00:00+00:00,32.51,33.8,32.11,33.75,10732700
2019-10-31 04:00:00+00:00,33.23,33.36,31.26,31.5,15912400
2019-11-01 04:00:00+00:00,31.45,31.7,30.741,31.37,10434300
2019-11-04 05:00:00+00:00,31.45,31.75,30.12,31.08,28787400
2019-11-05 05:00:00+00:00,29.13,29.3,27.97,28.02,51963500
2019-11-06 05:00:00+00:00,26.06,27.55,25.58,26.94,130965700
2019-11-07 05:00:00+00:00,26.8,27.42,26.45,27.38,65861400
2019-11-08 05:00:00+00:00,27.48,27.62,26.915,27.01,44923600
2019-11-11 05:00:00+00:00,27.03,27.21,26.23,27.14,41138100
2019-11-12 05:00:00+00:00,27.38,27.66,26.66,26.7,37095400
2019-11-13 05:00:00+00:00,26.47,26.82,26.14,26.71,32678300
2019-11-14 05:00:00+00:00,26.8,26.86,25.665,25.99,27893900
2019-11-15 05:00:00+00:00,26.18,26.8,25.955,26.79,41236200
2019-11-18 05:00:00+00:00,26.8,27.0,26.3,26.75,35916100
2019-11-19 05:00:00+00:00,26.77,27.22,26.61,27.05,31793500
2019-11-20 05:00:00+00:00,27.06,28.4,26.945,28.03,52746600
2019-11-21 05:00:00+00:00,28.67,29.6,28.5,29.46,54551400
2019-11-22 05:00:00+00:00,29.84,30.13,29.21,29.56,42302900
2019-11-25 05:00:00+00:00,28.69,29.6,28.38,29.11,36967500
2019-11-26 05:00:00+00:00,29.49,30.15,29.36,29.53,28746600
2019-11-27 05:00:00+00:00,29.42,29.59,28.88,29.49,22421400
2019-11-29 05:00:00+00:00,29.41,29.85,29.25,29.6,8115100
2019-12-02 05:00:00+00:00,29.32,29.525,28.7,28.98,16927100
2019-12-03 05:00:00+00:00,28.2,29.33,28.15,29.02,25252400
2019-12-04 05:00:00+00:00,29.1,29.2,28.7,29.06,22517600
2019-12-05 05:00:00+00:00,28.94,28.99,28.18,28.65,22504300
2019-12-06 05:00:00+00:00,28.4,28.925,27.8,27.86,32816100
2019-12-09 05:00:00+00:00,27.96,28.36,27.68,27.68,20977300
2019-12-10 05:00:00+00:00,27.73,27.993,27.605,27.89,23602700
2019-12-11 05:00:00+00:00,27.99,28.545,27.85,28.42,23281700
2019-12-12 05:00:00+00:00,28.29,28.75,28.19,28.69,23569900
2019-12-13 05:00:00+00:00,28.58,28.84,28.27,28.49,25431600
2019-12-16 05:00:00+00:00,29.11,30.13,29.1,30.05,57382500
2019-12-17 05:00:00+00:00,30.37,30.42,29.53,29.75,38250700
2019-12-18 05:00:00+00:00,29.62,30.14,29.34,30.13,35375100
2019-12-19 05:00:00+00:00,29.84,30.17,29.53,29.99,33799700
2019-12-20 05:00:00+00:00,30.1,31.03,29.85,30.45,95455100
2019-12-23 05:00:00+00:00,30.49,30.94,29.83,30.33,31209100
2019-12-24 05:00:00+00:00,30.33,30.84,30.11,30.44,12938600
2019-12-26 05:00:00+00:00,30.47,30.79,30.03,30.67,22200800
2019-12-27 05:00:00+00:00,30.8,31.06,30.17,30.17,18462200
2019-12-30 05:00:00+00:00,30.13,30.2,29.35,29.74,18805900
