Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,232.0,233.95,231.23,232.85,2666700
2019-09-20 04:00:00+00:00,234.77,235.0,231.92,232.89,6220100
2019-09-23 04:00:00+00:00,229.77,230.78,228.32,228.77,3281200
2019-09-24 04:00:00+00:00,229.38,229.84,222.92,225.0,5006800
2019-09-25 04:00:00+00:00,224.28,226.5,222.13,222.17,4658000
2019-09-26 04:00:00+00:00,223.04,223.63,213.43,215.48,10444400
2019-09-27 04:00:00+00:00,218.18,218.88,215.02,215.26,4834900
2019-09-30 04:00:00+00:00,213.64,218.53,213.12,217.32,5286300
2019-10-01 04:00:00+00:00,219.19,219.19,212.08,217.21,5523600
2019-10-02 04:00:00+00:00,216.15,219.36,215.28,216.75,4921200
2019-10-03 04:00:00+00:00,215.63,216.36,213.05,215.36,3375800
2019-10-04 04:00:00+00:00,216.84,219.86,215.14,219.8,3700500
2019-10-07 04:00:00+00:00,219.05,222.53,218.99,221.24,3843200
2019-10-08 04:00:00+00:00,219.49,221.98,218.4,220.11,4817000
2019-10-09 04:00:00+00:00,221.71,223.47,220.17,222.08,4483100
2019-10-10 04:00:00+00:00,218.19,224.13,217.52,223.73,5252200
2019-10-11 04:00:00+00:00,225.54,228.85,221.59,222.07,5891600
2019-10-14 04:00:00+00:00,221.63,223.34,219.9,220.59,4075300
2019-10-15 04:00:00+00:00,232.69,239.84,231.09,238.59,13397700
2019-10-16 04:00:00+00:00,236.29,237.48,234.08,236.99,5368600
2019-10-17 04:00:00+00:00,238.69,244.61,237.27,243.67,6301200
2019-10-18 04:00:00+00:00,244.45,246.41,241.76,245.34,4922100
2019-10-21 04:00:00+00:00,245.02,245.6,242.15,243.92,3029200
2019-10-22 04:00:00+00:00,243.64,251.5,243.15,249.48,5660800
2019-10-23 04:00:00+00:00,248.39,251.75,246.73,247.8,3706600
2019-10-24 04:00:00+00:00,248.03,248.49,243.91,244.51,2546900
2019-10-25 04:00:00+00:00,243.91,246.08,242.15,244.91,2815100
2019-10-28 04:00:00+00:00,245.26,248.39,244.92,247.05,2957100
2019-10-29 04:00:00+00:00,247.04,253.2,246.31,252.29,3528900
2019-10-30 04:00:00+00:00,252.17,255.28,251.98,254.8,3299600
2019-10-31 04:00:00+00:00,254.38,255.72,249.91,252.7,3960400
2019-11-01 04:00:00+00:00,253.99,256.33,252.16,252.21,2919600
2019-11-04 05:00:00+00:00,253.63,253.83,249.91,251.25,3186400
2019-11-05 05:00:00+00:00,253.74,254.27,250.09,250.3,5393400
2019-11-06 05:00:00+00:00,249.71,251.99,249.09,250.52,3668600
2019-11-07 05:00:00+00:00,251.95,256.75,251.26,256.46,3646300
2019-11-08 05:00:00+00:00,256.77,258.34,255.0,256.97,2200300
2019-11-11 05:00:00+00:00,255.05,256.46,253.33,254.09,1765600
2019-11-12 05:00:00+00:00,253.59,255.76,253.41,255.25,1892500
2019-11-13 05:00:00+00:00,254.87,256.88,253.19,253.57,3289800
2019-11-14 05:00:00+00:00,253.8,256.08,253.47,255.83,2101900
2019-11-15 05:00:00+00:00,256.11,275.57,255.36,269.4,10136000
2019-11-18 05:00:00+00:00,269.0,278.45,269.0,272.93,6985200
2019-11-19 05:00:00+00:00,275.24,275.36,271.55,274.23,4002000
2019-11-20 05:00:00+00:00,272.25,276.03,271.24,275.56,4141600
2019-11-21 05:00:00+00:00,275.22,277.68,273.91,276.55,3309900
2019-11-22 05:00:00+00:00,276.53,277.77,275.0,276.84,2802700
2019-11-25 05:00:00+00:00,277.78,283.0,277.01,282.67,4082900
2019-11-26 05:00:00+00:00,280.71,282.25,280.16,281.4,2998600
2019-11-27 05:00:00+00:00,281.01,281.93,278.69,280.67,2323900
2019-11-29 05:00:00+00:00,278.1,280.92,277.33,279.87,1520900
2019-12-02 05:00:00+00:00,281.78,282.0,278.57,279.66,2517100
2019-12-03 05:00:00+00:00,276.97,278.42,273.85,276.9,3239200
2019-12-04 05:00:00+00:00,281.62,281.84,278.64,279.32,2694200
2019-12-05 05:00:00+00:00,279.24,282.82,277.48,282.0,3357300
2019-12-06 05:00:00+00:00,282.84,283.04,279.11,280.19,2828900
2019-12-09 05:00:00+00:00,280.77,280.87,277.42,277.54,2697100
2019-12-10 05:00:00+00:00,277.6,279.6,274.01,279.52,2515300
2019-12-11 05:00:00+00:00,278.3,280.66,278.03,280.5,2751300
2019-12-12 05:00:00+00:00,281.03,283.99,280.04,283.61,2996200
2019-12-13 05:00:00+00:00,284.97,287.81,284.12,285.48,3599300
2019-12-16 05:00:00+00:00,287.97,295.44,287.06,292.03,4663600
2019-12-17 05:00:00+00:00,291.24,292.78,289.17,290.47,4409100
2019-12-18 05:00:00+00:00,291.0,294.86,290.99,292.9,3621600
2019-12-19 05:00:00+00:00,295.0,297.2,293.62,294.62,2905900
2019-12-20 05:00:00+00:00,298.9,300.0,292.51,292.59,6608300
2019-12-23 05:00:00+00:00,293.43,295.85,292.81,295.09,2098900
2019-12-24 05:00:00+00:00,295.26,295.83,293.56,294.54,714000
2019-12-26 05:00:00+00:00,295.3,296.26,294.54,295.65,1050600
2019-12-27 05:00:00+00:00,296.01,296.54,295.01,295.97,1547100
2019-12-30 05:00:00+00:00,296.05,296.54,293.45,293.85,1511700
2019-12-31 05:00:00+00:00,293.66,294.09,291.15,293.98,2224200
2020-01-02 05:00:00+00:00,293.98,295.7,289.79,292.5,2543400
2020-01-03 05:00:00+00:00,287.27,291.88,284.36,289.54,2711400
2020-01-06 05:00:00+00:00,288.0,291.66,287.22,291.55,3079100
2020-01-07 05:00:00+00:00,290.7,291.49,287.58,289.79,2492900
2020-01-08 05:00:00+00:00,291.5,297.38,290.04,295.9,3379200
2020-01-09 05:00:00+00:00,294.29,297.2,293.72,294.22,2838200
2020-01-10 05:00:00+00:00,296.07,296.07,292.21,295.13,2477900
2020-01-13 05:00:00+00:00,294.37,294.45,285.02,285.85,6994900
2020-01-14 05:00:00+00:00,285.6,288.24,284.25,288.24,6056300
2020-01-15 05:00:00+00:00,289.02,299.64,289.0,296.41,6081300
2020-01-16 05:00:00+00:00,298.0,300.99,295.93,300.74,3710300
2020-01-17 05:00:00+00:00,300.01,300.7,295.88,298.47,4632200
2020-01-21 05:00:00+00:00,296.89,302.54,296.01,300.53,4962800
2020-01-22 05:00:00+00:00,301.99,302.13,297.35,300.59,3117600
2020-01-23 05:00:00+00:00,300.01,300.58,296.65,299.46,3169600
2020-01-24 05:00:00+00:00,298.34,299.93,291.56,292.81,3678500
2020-01-27 05:00:00+00:00,288.0,288.08,280.07,284.09,4399400
2020-01-28 05:00:00+00:00,283.91,288.37,283.3,285.87,4341000
2020-01-29 05:00:00+00:00,284.0,286.19,280.89,282.9,3963800
2020-01-30 05:00:00+00:00,281.84,281.84,275.92,280.98,4211800
2020-01-31 05:00:00+00:00,278.17,278.78,271.18,272.45,5532600
2020-02-03 05:00:00+00:00,275.13,276.85,270.82,274.02,5646800
2020-02-04 05:00:00+00:00,277.28,283.5,276.88,280.84,4290200
2020-02-05 05:00:00+00:00,285.6,297.0,285.44,295.73,5761000
2020-02-06 05:00:00+00:00,297.0,297.27,290.0,292.46,3044000
2020-02-07 05:00:00+00:00,292.87,293.39,288.91,289.22,3425900
2020-02-10 05:00:00+00:00,286.23,289.29,285.45,287.03,3147400
2020-02-11 05:00:00+00:00,286.85,291.57,285.9,290.79,2992200
2020-02-12 05:00:00+00:00,295.0,305.0,294.01,303.48,6701900
2020-02-13 05:00:00+00:00,300.14,305.9,300.14,302.2,3565500
2020-02-14 05:00:00+00:00,302.21,303.97,297.31,298.78,2485600
2020-02-18 05:00:00+00:00,299.67,303.35,299.0,302.14,3241700
2020-02-19 05:00:00+00:00,303.37,306.71,302.73,305.31,3021100
2020-02-20 05:00:00+00:00,303.2,304.16,297.89,302.13,2885500
2020-02-21 05:00:00+00:00,300.47,302.51,298.61,301.43,2987100
2020-02-24 05:00:00+00:00,286.89,288.99,277.64,277.79,8790600
2020-02-25 05:00:00+00:00,280.15,281.98,262.01,263.39,8171200
2020-02-26 05:00:00+00:00,264.72,269.83,258.71,263.0,6806600
2020-02-27 05:00:00+00:00,258.42,262.15,252.07,253.92,7604300
2020-02-28 05:00:00+00:00,246.2,257.1,245.3,254.96,9961000
2020-03-02 05:00:00+00:00,257.34,273.24,250.32,273.11,8866300
2020-03-03 05:00:00+00:00,275.35,280.35,259.23,261.4,9188100
2020-03-04 05:00:00+00:00,290.0,295.84,282.21,289.42,14533000
2020-03-05 05:00:00+00:00,281.6,289.42,279.94,282.96,5908400
2020-03-06 05:00:00+00:00,275.42,284.97,271.9,283.87,5361900
2020-03-09 04:00:00+00:00,264.46,281.44,259.24,273.44,8070700
2020-03-10 04:00:00+00:00,279.72,283.9,272.5,280.0,7366000
2020-03-11 04:00:00+00:00,274.76,285.24,273.26,277.78,7744600
2020-03-12 04:00:00+00:00,260.0,272.23,250.0,250.41,10496600
