Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,176.2,177.41,175.61,175.96,6964500
2019-09-20 04:00:00+00:00,177.4,177.63,173.95,174.06,12820400
2019-09-23 04:00:00+00:00,172.9,175.25,172.79,174.91,8803500
2019-09-24 04:00:00+00:00,176.11,177.2,173.4,174.48,10039900
2019-09-25 04:00:00+00:00,173.8,175.67,172.39,175.28,7797300
2019-09-26 04:00:00+00:00,175.65,176.45,174.61,175.65,10419000
2019-09-27 04:00:00+00:00,176.7,176.83,172.36,174.0,9212600
2019-09-30 04:00:00+00:00,174.17,175.45,172.01,172.01,16464000
2019-10-01 04:00:00+00:00,173.02,174.82,172.82,174.29,8146200
2019-10-02 04:00:00+00:00,172.64,172.94,168.59,169.83,10596200
2019-10-03 04:00:00+00:00,169.91,173.14,168.63,172.87,7242800
2019-10-04 04:00:00+00:00,174.68,176.52,174.44,175.98,6027600
2019-10-07 04:00:00+00:00,174.66,175.69,173.8,174.9,5248300
2019-10-08 04:00:00+00:00,173.57,174.64,171.88,172.42,5336500
2019-10-09 04:00:00+00:00,174.11,175.99,173.64,174.88,6277300
2019-10-10 04:00:00+00:00,173.89,175.9,173.59,174.88,4762400
2019-10-11 04:00:00+00:00,176.87,179.2,176.85,177.06,8754400
2019-10-14 04:00:00+00:00,177.38,178.41,177.11,177.36,7240900
2019-10-15 04:00:00+00:00,178.13,179.43,177.55,178.75,4400200
2019-10-16 04:00:00+00:00,177.92,178.26,176.27,177.87,6509000
2019-10-17 04:00:00+00:00,178.89,179.19,177.5,177.94,4887900
2019-10-18 04:00:00+00:00,177.9,178.2,174.55,175.71,6311900
2019-10-21 04:00:00+00:00,176.0,176.73,174.61,176.43,4898200
2019-10-22 04:00:00+00:00,177.0,177.79,170.78,170.86,10094700
2019-10-23 04:00:00+00:00,170.99,172.17,170.18,171.32,7122300
2019-10-24 04:00:00+00:00,173.42,176.87,173.4,176.16,7872600
2019-10-25 04:00:00+00:00,174.93,179.15,173.5,177.85,10130100
2019-10-28 04:00:00+00:00,178.93,180.18,178.35,179.84,10086500
2019-10-29 04:00:00+00:00,179.8,180.0,177.37,177.63,7572800
2019-10-30 04:00:00+00:00,177.79,179.42,176.39,179.25,5374800
2019-10-31 04:00:00+00:00,179.25,179.7,178.01,178.86,6830800
2019-11-01 04:00:00+00:00,180.13,181.32,179.56,180.93,7000200
2019-11-04 05:00:00+00:00,182.08,182.4,178.81,178.95,7154800
2019-11-05 05:00:00+00:00,179.07,179.56,175.18,176.37,7447500
2019-11-06 05:00:00+00:00,176.37,178.19,176.14,176.77,6992500
2019-11-07 05:00:00+00:00,177.35,180.65,176.85,178.43,7227200
2019-11-08 05:00:00+00:00,178.38,179.45,177.8,178.97,3894100
2019-11-11 05:00:00+00:00,178.5,180.36,178.2,179.54,3617300
2019-11-12 05:00:00+00:00,179.94,181.06,178.88,179.74,6118700
2019-11-13 05:00:00+00:00,179.4,180.88,177.9,179.41,6138300
2019-11-14 05:00:00+00:00,179.0,179.77,178.06,179.75,9811000
2019-11-15 05:00:00+00:00,180.03,180.68,179.08,179.77,7808800
2019-11-18 05:00:00+00:00,179.57,180.32,178.98,179.66,7173700
2019-11-19 05:00:00+00:00,180.39,182.98,180.2,182.77,8549900
2019-11-20 05:00:00+00:00,182.31,183.22,180.35,181.66,6040500
2019-11-21 05:00:00+00:00,181.17,181.81,179.32,179.89,5112200
2019-11-22 05:00:00+00:00,180.13,180.47,178.35,179.47,6865600
2019-11-25 05:00:00+00:00,180.4,181.35,180.11,180.97,5457800
2019-11-26 05:00:00+00:00,181.46,182.92,181.21,182.55,7079000
2019-11-27 05:00:00+00:00,183.0,184.54,182.26,184.37,11452700
2019-11-29 05:00:00+00:00,183.93,184.85,183.36,184.51,3139100
2019-12-02 05:00:00+00:00,184.24,184.37,179.87,181.79,6883200
2019-12-03 05:00:00+00:00,179.9,182.14,179.66,181.9,4543300
2019-12-04 05:00:00+00:00,182.66,182.66,180.47,180.6,10650400
2019-12-05 05:00:00+00:00,181.25,182.03,180.07,181.89,4638600
2019-12-06 05:00:00+00:00,182.74,183.28,181.34,182.17,14526700
2019-12-09 05:00:00+00:00,181.9,183.26,181.3,182.92,10233100
2019-12-10 05:00:00+00:00,182.55,183.15,181.9,182.26,8625700
2019-12-11 05:00:00+00:00,183.07,183.08,181.19,182.01,7138800
2019-12-12 05:00:00+00:00,181.66,183.33,180.83,182.64,11192100
2019-12-13 05:00:00+00:00,182.5,185.52,182.04,185.14,8558100
2019-12-16 05:00:00+00:00,186.33,186.82,185.77,186.24,8249900
2019-12-17 05:00:00+00:00,186.5,186.78,184.1,185.52,10208700
2019-12-18 05:00:00+00:00,185.52,186.44,184.9,184.9,8968500
2019-12-19 05:00:00+00:00,184.5,186.58,184.5,186.54,5854200
2019-12-20 05:00:00+00:00,187.6,188.17,186.3,188.0,11259500
2019-12-23 05:00:00+00:00,188.15,188.41,187.0,187.08,5831700
2019-12-24 05:00:00+00:00,187.1,188.02,186.91,187.57,2420900
2019-12-26 05:00:00+00:00,187.89,189.18,187.7,189.16,5237000
2019-12-27 05:00:00+00:00,189.74,189.89,188.47,189.39,5448600
2019-12-30 05:00:00+00:00,189.31,189.48,187.12,187.83,4833600
2019-12-31 05:00:00+00:00,187.06,188.0,186.54,187.9,5273000
2020-01-02 05:00:00+00:00,189.0,191.14,188.72,191.12,8733000
2020-01-03 05:00:00+00:00,188.41,190.96,187.92,189.6,4899700
2020-01-06 05:00:00+00:00,188.0,189.21,187.16,189.19,10109500
2020-01-07 05:00:00+00:00,189.59,190.1,188.6,188.69,4392300
2020-01-08 05:00:00+00:00,189.49,192.5,188.8,191.92,5712000
2020-01-09 05:00:00+00:00,193.0,193.92,192.52,193.25,6748000
2020-01-10 05:00:00+00:00,193.5,194.57,193.11,193.77,6586400
2020-01-13 05:00:00+00:00,194.44,195.6,194.28,195.33,11290500
2020-01-14 05:00:00+00:00,196.74,196.95,195.14,196.05,6236500
2020-01-15 05:00:00+00:00,197.0,200.15,196.32,199.8,10831100
2020-01-16 05:00:00+00:00,201.0,201.5,199.78,200.95,9983700
2020-01-17 05:00:00+00:00,201.76,204.75,199.98,204.7,12518900
2020-01-21 05:00:00+00:00,204.13,208.39,203.8,207.29,14861700
2020-01-22 05:00:00+00:00,207.51,210.13,207.29,207.9,8065000
2020-01-23 05:00:00+00:00,207.9,208.4,205.3,206.52,8520800
2020-01-24 05:00:00+00:00,207.42,207.99,204.21,205.0,7812900
2020-01-27 05:00:00+00:00,200.0,203.33,199.1,201.69,7198900
2020-01-28 05:00:00+00:00,202.39,203.84,201.78,202.85,7215700
2020-01-29 05:00:00+00:00,204.3,205.92,202.51,204.86,7041700
2020-01-30 05:00:00+00:00,204.0,208.5,203.32,208.21,8571900
2020-01-31 05:00:00+00:00,201.49,203.98,198.26,198.97,16699600
2020-02-03 05:00:00+00:00,199.94,202.26,199.85,200.81,10885900
2020-02-04 05:00:00+00:00,203.5,204.92,202.23,203.56,10205900
2020-02-05 05:00:00+00:00,205.5,205.6,199.95,202.81,8672400
2020-02-06 05:00:00+00:00,203.05,204.63,202.48,203.04,7001200
2020-02-07 05:00:00+00:00,201.98,203.83,201.09,202.74,5691100
2020-02-10 05:00:00+00:00,201.97,206.13,201.86,205.99,6239500
2020-02-11 05:00:00+00:00,207.5,207.67,203.64,203.94,10231900
2020-02-12 05:00:00+00:00,205.0,208.15,205.0,207.44,7355800
2020-02-13 05:00:00+00:00,206.62,208.47,206.05,207.4,9495300
2020-02-14 05:00:00+00:00,208.29,210.78,208.01,210.29,6548800
2020-02-18 05:00:00+00:00,210.0,211.5,209.36,211.2,7651500
2020-02-19 05:00:00+00:00,212.52,214.17,211.72,213.31,5927500
2020-02-20 05:00:00+00:00,212.13,213.69,208.28,211.45,8531900
2020-02-21 05:00:00+00:00,209.9,210.22,207.42,208.81,9231500
2020-02-24 05:00:00+00:00,197.89,203.77,194.01,198.79,13316800
2020-02-25 05:00:00+00:00,198.79,199.89,187.72,188.4,18539000
2020-02-26 05:00:00+00:00,190.0,193.51,187.03,187.21,14214700
2020-02-27 05:00:00+00:00,182.12,186.34,180.0,180.01,17536600
2020-02-28 05:00:00+00:00,173.79,182.33,172.98,181.76,22659000
2020-03-02 05:00:00+00:00,186.32,192.44,183.1,192.33,17434500
2020-03-03 05:00:00+00:00,193.2,194.04,184.5,185.73,15226400
2020-03-04 05:00:00+00:00,190.36,194.49,186.17,194.29,10789100
2020-03-05 05:00:00+00:00,191.24,191.92,185.64,186.96,10106900
2020-03-06 05:00:00+00:00,183.54,185.99,179.98,184.36,15183200
2020-03-09 04:00:00+00:00,171.21,179.57,168.31,171.13,20486400
2020-03-10 04:00:00+00:00,179.47,182.61,171.88,182.6,16119400
2020-03-11 04:00:00+00:00,177.65,178.73,170.2,172.95,14598200
2020-03-12 04:00:00+00:00,158.5,172.0,156.99,160.08,27467700
2020-03-13 04:00:00+00:00,168.72,176.32,162.21,175.83,19948900
2020-03-16 04:00:00+00:00,151.14,165.31,147.98,152.01,23692000
2020-03-17 04:00:00+00:00,155.75,163.7,149.25,157.89,22298000
2020-03-18 04:00:00+00:00,148.46,150.68,139.8,148.48,22787500
2020-03-19 04:00:00+00:00,146.92,157.25,141.47,152.25,19362800
2020-03-20 04:00:00+00:00,154.82,158.26,145.67,146.83,18692100
2020-03-23 04:00:00+00:00,141.33,143.35,133.93,135.74,30344100
2020-03-24 04:00:00+00:00,144.84,155.25,143.58,154.53,24488300
2020-03-25 04:00:00+00:00,159.32,168.18,153.58,161.78,20619600
2020-03-26 04:00:00+00:00,162.08,169.53,161.79,168.88,17062900
2020-03-27 04:00:00+00:00,161.08,167.1,158.15,161.56,14950700
2020-03-30 04:00:00+00:00,161.04,165.87,160.69,165.57,15714500
2020-03-31 04:00:00+00:00,166.43,168.19,160.54,161.12,20613100
2020-04-01 04:00:00+00:00,156.32,158.07,151.42,153.11,12595200
2020-04-02 04:00:00+00:00,152.53,158.35,151.29,157.39,14051100
2020-04-03 04:00:00+00:00,155.56,157.72,150.6,151.85,11994700
2020-04-06 04:00:00+00:00,160.02,170.73,158.25,169.44,16479100
2020-04-07 04:00:00+00:00,177.76,178.8,168.1,168.59,15379000
2020-04-08 04:00:00+00:00,171.01,176.0,167.93,174.94,11146500
2020-04-09 04:00:00+00:00,176.27,177.19,172.85,173.69,12231800
2020-04-13 04:00:00+00:00,172.26,172.32,166.15,168.99,14043700
2020-04-14 04:00:00+00:00,173.09,175.43,170.83,174.62,9980500
2020-04-15 04:00:00+00:00,168.7,169.36,164.95,165.96,12118700
2020-04-16 04:00:00+00:00,167.11,168.0,159.8,162.42,20308200
2020-04-17 04:00:00+00:00,169.65,170.99,164.95,169.54,15375800
2020-04-20 04:00:00+00:00,167.33,167.43,163.2,164.22,10505200
2020-04-21 04:00:00+00:00,162.0,162.57,159.15,160.53,10562100
2020-04-22 04:00:00+00:00,164.66,167.7,162.92,166.59,14502500
2020-04-23 04:00:00+00:00,167.88,170.41,166.21,166.38,11411300
2020-04-24 04:00:00+00:00,168.44,168.75,164.01,167.32,8391400
2020-04-27 04:00:00+00:00,168.65,172.35,168.55,171.76,9903300
2020-04-28 04:00:00+00:00,175.0,175.01,170.38,171.25,8614400
2020-04-29 04:00:00+00:00,176.85,182.25,176.1,181.79,12862800
2020-04-30 04:00:00+00:00,181.78,181.83,177.66,178.72,11331600
2020-05-01 04:00:00+00:00,174.45,179.64,174.27,175.57,10109600
2020-05-04 04:00:00+00:00,172.95,176.94,171.72,176.15,9386200
2020-05-05 04:00:00+00:00,179.09,181.1,178.26,178.44,13513000
2020-05-06 04:00:00+00:00,179.72,180.51,177.88,178.78,8540500
2020-05-07 04:00:00+00:00,181.75,184.98,181.71,182.72,9262200
2020-05-08 04:00:00+00:00,185.03,185.75,183.62,185.09,6470100
2020-05-11 04:00:00+00:00,183.87,184.62,181.43,183.56,8683100
2020-05-12 04:00:00+00:00,183.56,183.99,179.37,179.47,8219700
2020-05-13 04:00:00+00:00,178.5,181.09,175.04,177.09,13377100
2020-05-14 04:00:00+00:00,175.94,181.05,173.82,180.9,9695100
2020-05-15 04:00:00+00:00,179.98,184.14,178.87,183.49,10785900
2020-05-18 04:00:00+00:00,188.0,192.83,187.47,191.38,11802200
2020-05-19 04:00:00+00:00,191.14,194.5,189.23,189.36,7446800
2020-05-20 04:00:00+00:00,193.0,194.99,192.41,193.86,9545600
2020-05-21 04:00:00+00:00,193.5,193.62,190.02,190.62,11338100
2020-05-22 04:00:00+00:00,191.0,191.37,189.23,190.86,5807600
2020-05-26 04:00:00+00:00,195.8,196.27,192.76,193.22,9662200
2020-05-27 04:00:00+00:00,194.31,194.31,188.52,192.82,7650300
2020-05-28 04:00:00+00:00,193.54,198.29,192.71,194.26,8352200
2020-05-29 04:00:00+00:00,194.5,196.74,193.28,195.24,10211900
2020-06-01 04:00:00+00:00,194.71,195.88,193.52,194.35,6011300
2020-06-02 04:00:00+00:00,195.94,197.52,194.92,196.36,8462100
2020-06-03 04:00:00+00:00,198.0,198.14,195.57,196.87,8879400
2020-06-04 04:00:00+00:00,195.98,196.46,193.12,193.64,7829800
2020-06-05 04:00:00+00:00,196.2,199.77,195.48,199.61,8561200
2020-06-08 04:00:00+00:00,199.58,199.96,197.13,199.6,7628100
2020-06-09 04:00:00+00:00,198.36,201.67,198.24,199.08,6892300
2020-06-10 04:00:00+00:00,199.9,202.18,198.95,200.48,8405300
2020-06-11 04:00:00+00:00,195.14,196.36,188.75,188.88,11974600
2020-06-12 04:00:00+00:00,194.21,195.0,187.85,192.26,11706300
2020-06-15 04:00:00+00:00,187.0,192.48,186.21,191.76,6752700
2020-06-16 04:00:00+00:00,196.86,198.38,191.8,192.88,11057200
2020-06-17 04:00:00+00:00,193.66,195.37,193.06,193.56,5968900
2020-06-18 04:00:00+00:00,192.6,194.25,192.11,193.91,5803200
