contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250919C00005000,2025-09-12 18:39:38+00:00,5.0,228.97,228.7,229.5,3.5700073,1.5838543,76,510,10.750003281250002,True,REGULAR,USD
AAPL250919C00010000,2025-09-12 13:38:52+00:00,10.0,219.5,223.7,224.7,0.9299927,0.4254896,5,27,10.109378681640628,True,REGULAR,USD
AAPL250919C00015000,2025-08-22 19:50:00+00:00,15.0,213.35,218.7,219.7,0.0,0.0,2,2,8.703129560546873,True,REGULAR,USD
AAPL250919C00020000,2025-07-31 13:40:38+00:00,20.0,188.9,210.2,213.7,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL250919C00025000,2025-08-20 13:30:02+00:00,25.0,205.11,208.15,209.7,0.0,0.0,1,1,8.695317065429686,True,REGULAR,USD
AAPL250919C00030000,2025-08-27 14:37:55+00:00,30.0,200.5,203.2,204.65,0.0,0.0,2,2,7.851562685546874,True,REGULAR,USD
AAPL250919C00035000,2025-09-11 15:07:30+00:00,35.0,194.0,198.75,199.65,0.0,0.0,1,1,5.929690087890625,True,REGULAR,USD
AAPL250919C00040000,2025-09-10 17:23:18+00:00,40.0,186.95,193.75,194.65,0.0,0.0,2,3,5.51562810546875,True,REGULAR,USD
AAPL250919C00045000,2025-08-21 13:59:14+00:00,45.0,180.58,188.75,189.65,0.0,0.0,1,1,5.1484410644531255,True,REGULAR,USD
AAPL250919C00050000,2025-09-03 13:32:20+00:00,50.0,186.25,183.75,184.7,0.0,0.0,1,1120,4.921878847656249,True,REGULAR,USD
AAPL250919C00055000,2025-08-27 13:56:01+00:00,55.0,174.85,178.75,179.7,0.0,0.0,5,81,4.62500421875,True,REGULAR,USD
AAPL250919C00060000,2025-08-27 13:56:01+00:00,60.0,169.67,173.75,174.75,0.0,0.0,4,113,4.433598208007812,True,REGULAR,USD
AAPL250919C00065000,2025-08-21 13:59:14+00:00,65.0,160.68,168.75,169.75,0.0,0.0,1,28,4.179692275390625,True,REGULAR,USD
AAPL250919C00070000,2025-09-09 14:43:05+00:00,70.0,166.01,163.75,164.75,0.0,0.0,2,50,3.949218876953125,True,REGULAR,USD
AAPL250919C00075000,2025-09-10 17:23:18+00:00,75.0,152.0,158.75,159.75,0.0,0.0,3,209,3.7343756640625,True,REGULAR,USD
AAPL250919C00080000,2025-08-26 13:43:43+00:00,80.0,145.86,153.25,154.75,0.0,0.0,1,27,4.2636765454101555,True,REGULAR,USD
AAPL250919C00085000,2025-08-20 19:47:08+00:00,85.0,142.02,148.2,149.75,0.0,0.0,3,162,4.039067451171874,True,REGULAR,USD
AAPL250919C00090000,2025-09-04 15:55:29+00:00,90.0,147.26,143.8,144.7,0.0,0.0,4,176,3.16406458984375,True,REGULAR,USD
AAPL250919C00095000,2025-09-04 15:55:29+00:00,95.0,142.34,138.8,139.7,0.0,0.0,4,40,2.9960962597656247,True,REGULAR,USD
AAPL250919C00100000,2025-09-05 18:25:34+00:00,100.0,139.5,133.8,134.75,0.0,0.0,35,1019,2.886721533203125,True,REGULAR,USD
AAPL250919C00105000,2025-09-11 16:53:26+00:00,105.0,123.61,128.8,129.75,0.0,0.0,2,31,2.7304719238281248,True,REGULAR,USD
AAPL250919C00110000,2025-09-12 13:59:04+00:00,110.0,120.6,123.8,124.6,1.9399948,1.6349189,345,803,2.441410146484375,True,REGULAR,USD
AAPL250919C00115000,2025-09-11 13:30:01+00:00,115.0,111.89,118.8,119.85,0.0,0.0,1,110,2.517581831054687,True,REGULAR,USD
AAPL250919C00120000,2025-09-10 19:38:41+00:00,120.0,106.15,113.8,114.7,0.0,0.0,470,977,2.269535576171875,True,REGULAR,USD
AAPL250919C00125000,2025-09-10 14:01:43+00:00,125.0,104.77,108.8,109.85,0.0,0.0,1,261,2.2460981347656244,True,REGULAR,USD
AAPL250919C00130000,2025-09-12 16:42:42+00:00,130.0,103.77,103.8,104.8,6.8499985,7.067683,5,84,2.0898485253906243,True,REGULAR,USD
AAPL250919C00135000,2025-09-05 19:50:36+00:00,135.0,105.1,98.8,99.8,0.0,0.0,20,94,1.96875015625,True,REGULAR,USD
AAPL250919C00140000,2025-09-12 18:38:52+00:00,140.0,94.0,93.55,94.45,5.1500015,5.7962875,32,1023,1.994140654296875,True,REGULAR,USD
AAPL250919C00145000,2025-09-12 13:32:18+00:00,145.0,89.2,88.85,89.6,3.6800003,4.3030877,31,479,1.64453302734375,True,REGULAR,USD
AAPL250919C00150000,2025-09-12 15:23:33+00:00,150.0,83.83,83.95,84.6,3.6900024,4.6044455,11,6367,1.6015644921874999,True,REGULAR,USD
AAPL250919C00155000,2025-09-12 19:20:15+00:00,155.0,79.4,78.85,79.9,-2.9199982,-3.5471308,2,342,1.5859395703124997,True,REGULAR,USD
AAPL250919C00160000,2025-09-12 14:58:16+00:00,160.0,74.09,73.85,74.75,4.0899963,5.8428516,75,1900,1.4160185449218752,True,REGULAR,USD
AAPL250919C00165000,2025-09-11 14:57:47+00:00,165.0,64.2,68.85,69.8,0.0,0.0,28,2825,1.3359408203124996,True,REGULAR,USD
AAPL250919C00170000,2025-09-12 15:16:21+00:00,170.0,64.17,63.45,64.85,3.7699966,6.241716,10,1209,1.05078599609375,True,REGULAR,USD
AAPL250919C00175000,2025-09-12 18:47:03+00:00,175.0,59.2,59.0,59.4,3.9000015,7.052444,14,1755,1.0312548437500002,True,REGULAR,USD
AAPL250919C00180000,2025-09-12 19:49:55+00:00,180.0,54.0,54.1,54.4,3.6899986,7.3345227,16,1937,0.9873048144531251,True,REGULAR,USD
AAPL250919C00185000,2025-09-12 19:57:17+00:00,185.0,49.21,49.1,49.4,3.8600006,8.511579,101,4822,0.8964854101562498,True,REGULAR,USD
AAPL250919C00190000,2025-09-12 19:30:00+00:00,190.0,43.94,44.15,44.4,3.5499992,8.789303,102,2695,0.8261736132812498,True,REGULAR,USD
AAPL250919C00195000,2025-09-12 19:59:11+00:00,195.0,39.38,39.15,39.4,4.010002,11.337298,21,2449,0.737307314453125,True,REGULAR,USD
AAPL250919C00200000,2025-09-12 19:57:42+00:00,200.0,34.3,34.15,34.45,3.5499992,11.544713,225,7983,0.6621127539062501,True,REGULAR,USD
AAPL250919C00205000,2025-09-12 19:30:36+00:00,205.0,28.84,29.15,29.4,3.290001,12.876717,51,9897,0.5625043750000001,True,REGULAR,USD
AAPL250919C00207500,2025-09-12 19:35:16+00:00,207.5,26.62,26.65,26.95,3.7400017,16.34616,23,128,0.5302781347656251,True,REGULAR,USD
AAPL250919C00210000,2025-09-12 19:42:13+00:00,210.0,24.5,23.7,24.35,4.0,19.512194,3739,19425,0.50586431640625,True,REGULAR,USD
AAPL250919C00212500,2025-09-12 19:50:58+00:00,212.5,21.6,21.65,22.0,3.83,21.553179,87,528,0.5048877636718749,True,REGULAR,USD
AAPL250919C00215000,2025-09-12 19:59:07+00:00,215.0,19.53,19.1,19.45,3.5300007,22.062504,2514,22259,0.44385321777343745,True,REGULAR,USD
AAPL250919C00217500,2025-09-12 19:34:13+00:00,217.5,16.45,16.8,17.05,3.1900005,24.057318,65,760,0.4194393994140625,True,REGULAR,USD
AAPL250919C00220000,2025-09-12 19:51:20+00:00,220.0,14.5,13.95,14.6,3.8000002,35.514023,1319,23063,0.3794007373046875,True,REGULAR,USD
AAPL250919C00222500,2025-09-12 19:57:46+00:00,222.5,12.08,12.0,12.2,3.37,38.69116,753,4238,0.344733115234375,True,REGULAR,USD
AAPL250919C00225000,2025-09-12 19:59:38+00:00,225.0,9.77,9.65,9.9,3.1700006,48.03031,4199,21986,0.31836619140624994,True,REGULAR,USD
AAPL250919C00227500,2025-09-12 19:59:11+00:00,227.5,7.64,7.5,7.65,3.02,65.367966,7085,7678,0.28833719482421866,True,REGULAR,USD
AAPL250919C00230000,2025-09-12 19:59:59+00:00,230.0,5.6,5.55,5.65,2.6,86.666664,33306,53817,0.27075924560546877,True,REGULAR,USD
AAPL250919C00232500,2025-09-12 19:59:30+00:00,232.5,3.93,3.9,4.0,1.99,102.57732,32404,13896,0.26416751464843746,True,REGULAR,USD
AAPL250919C00235000,2025-09-12 19:59:59+00:00,235.0,2.59,2.58,2.61,1.4599999,129.20354,63045,39662,0.25440198730468755,False,REGULAR,USD
AAPL250919C00237500,2025-09-12 19:59:59+00:00,237.5,1.6,1.6,1.61,0.93,138.80597,28776,13731,0.25049577636718745,False,REGULAR,USD
AAPL250919C00240000,2025-09-12 19:59:57+00:00,240.0,0.95,0.94,0.95,0.54999995,137.49998,56895,57724,0.25049577636718745,False,REGULAR,USD
AAPL250919C00242500,2025-09-12 19:59:56+00:00,242.5,0.54,0.53,0.54,0.28000003,107.69232,17421,7801,0.252937158203125,False,REGULAR,USD
AAPL250919C00245000,2025-09-12 19:59:51+00:00,245.0,0.32,0.3,0.32,0.13999999,77.77777,25803,48209,0.2612378564453125,False,REGULAR,USD
AAPL250919C00247500,2025-09-12 19:59:18+00:00,247.5,0.2,0.19,0.2,0.080000006,66.66667,8686,11550,0.273444765625,False,REGULAR,USD
AAPL250919C00250000,2025-09-12 19:59:06+00:00,250.0,0.12,0.11,0.12,0.029999994,33.333324,13380,43034,0.2827220166015625,False,REGULAR,USD
AAPL250919C00252500,2025-09-12 19:57:34+00:00,252.5,0.08,0.07,0.08,0.0,0.0,4970,6256,0.29688203124999996,False,REGULAR,USD
AAPL250919C00255000,2025-09-12 19:58:58+00:00,255.0,0.05,0.05,0.06,0.0,0.0,6883,14929,0.31445998046874996,False,REGULAR,USD
AAPL250919C00257500,2025-09-12 19:57:42+00:00,257.5,0.05,0.03,0.05,0.0,0.0,1496,2697,0.335944140625,False,REGULAR,USD
AAPL250919C00260000,2025-09-12 19:45:29+00:00,260.0,0.05,0.03,0.04,0.020000001,66.66667,2438,15266,0.35547519531249994,False,REGULAR,USD
AAPL250919C00265000,2025-09-12 19:44:00+00:00,265.0,0.02,0.01,0.02,0.0,0.0,3451,6862,0.3789124609375,False,REGULAR,USD
AAPL250919C00270000,2025-09-12 18:53:06+00:00,270.0,0.02,0.01,0.02,0.0,0.0,340,10192,0.42969320312500003,False,REGULAR,USD
AAPL250919C00275000,2025-09-12 19:54:19+00:00,275.0,0.01,0.0,0.01,0.0,0.0,211,7550,0.445318046875,False,REGULAR,USD
AAPL250919C00280000,2025-09-12 19:33:20+00:00,280.0,0.01,0.0,0.02,0.0,0.0,67,6498,0.523442265625,False,REGULAR,USD
AAPL250919C00285000,2025-09-12 15:14:26+00:00,285.0,0.01,0.0,0.01,0.0,0.0,100,2924,0.500005,False,REGULAR,USD
AAPL250919C00290000,2025-09-11 14:08:36+00:00,290.0,0.01,0.0,0.01,0.0,0.0,4,5349,0.5312546875,False,REGULAR,USD
AAPL250919C00295000,2025-09-11 16:11:08+00:00,295.0,0.01,0.0,0.01,0.0,0.0,10,1951,0.57812921875,False,REGULAR,USD
AAPL250919C00300000,2025-09-10 18:08:48+00:00,300.0,0.01,0.0,0.01,0.0,0.0,8,9020,0.6250037500000001,False,REGULAR,USD
AAPL250919C00305000,2025-09-08 15:58:42+00:00,305.0,0.01,0.0,0.01,0.0,0.0,1,2037,0.6562534375000001,False,REGULAR,USD
AAPL250919C00310000,2025-09-09 15:58:31+00:00,310.0,0.01,0.0,0.01,0.0,0.0,2,3771,0.6875031250000001,False,REGULAR,USD
AAPL250919C00320000,2025-08-26 18:00:08+00:00,320.0,0.01,0.0,0.01,0.0,0.0,6,4259,0.7500025,False,REGULAR,USD
AAPL250919C00330000,2025-09-10 18:31:18+00:00,330.0,0.01,0.0,0.01,0.0,0.0,2,1740,0.8281267187499999,False,REGULAR,USD
AAPL250919C00340000,2025-09-12 15:50:33+00:00,340.0,0.01,0.0,0.01,0.0,0.0,99,1461,0.9062509375,False,REGULAR,USD
AAPL250919C00350000,2025-09-12 15:29:04+00:00,350.0,0.01,0.0,0.01,0.0,0.0,30,4474,0.9687503125,False,REGULAR,USD
AAPL250919C00360000,2025-09-10 18:31:34+00:00,360.0,0.01,0.0,0.01,0.0,0.0,1,3338,1.0312548437500002,False,REGULAR,USD
AAPL250919C00370000,2025-09-10 16:52:55+00:00,370.0,0.01,0.0,0.01,0.0,0.0,2,891,1.0625046875000002,False,REGULAR,USD
AAPL250919C00380000,2025-09-10 19:32:38+00:00,380.0,0.01,0.0,0.01,0.0,0.0,2,1591,1.125004375,False,REGULAR,USD
AAPL250919C00390000,2025-09-12 16:36:40+00:00,390.0,0.01,0.0,0.01,0.0,0.0,6,4663,1.1875040625,False,REGULAR,USD
