contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSFT250919C00180000,2025-08-26 17:38:29+00:00,180.0,320.7,329.15,332.2,0.0,0.0,8,7,3.755859985351563,True,REGULAR,USD
MSFT250919C00185000,2025-04-23 17:00:02+00:00,185.0,193.4,266.1,269.25,0.0,0.0,2,3,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919C00195000,2025-09-05 15:04:45+00:00,195.0,300.31,314.25,317.2,0.0,0.0,1,2,3.5166027709960934,True,REGULAR,USD
MSFT250919C00200000,2025-09-12 16:02:19+00:00,200.0,311.25,309.25,312.2,9.25,3.062914,1,11,3.4306654858398433,True,REGULAR,USD
MSFT250919C00210000,2025-09-08 16:12:03+00:00,210.0,290.29,299.2,302.25,0.0,0.0,1,17,3.264650275878906,True,REGULAR,USD
MSFT250919C00220000,2025-09-08 14:16:48+00:00,220.0,279.33,288.8,292.25,0.0,0.0,1,53,2.9863306591796874,True,REGULAR,USD
MSFT250919C00230000,2025-06-17 17:30:10+00:00,230.0,248.34,281.0,284.55,0.0,0.0,1,40,3.652832899169922,True,REGULAR,USD
MSFT250919C00240000,2025-08-19 16:49:18+00:00,240.0,270.05,269.25,272.25,0.0,0.0,1,45,2.8232451293945315,True,REGULAR,USD
MSFT250919C00250000,2025-08-14 15:17:34+00:00,250.0,274.4,259.55,262.2,0.0,0.0,1,171,2.740237524414063,True,REGULAR,USD
MSFT250919C00260000,2025-09-08 15:46:52+00:00,260.0,241.0,249.3,252.25,0.0,0.0,4,58,2.561038753662109,True,REGULAR,USD
MSFT250919C00270000,2025-09-11 13:43:18+00:00,270.0,229.1,239.8,242.3,0.0,0.0,20,271,2.5390661523437497,True,REGULAR,USD
MSFT250919C00280000,2025-09-09 19:58:40+00:00,280.0,219.1,228.95,232.3,0.0,0.0,3,29,2.241215334472656,True,REGULAR,USD
MSFT250919C00290000,2025-08-28 16:21:34+00:00,290.0,220.11,219.3,222.3,0.0,0.0,4,97,2.1953170117187497,True,REGULAR,USD
MSFT250919C00300000,2025-09-11 18:05:30+00:00,300.0,200.0,209.8,212.3,0.0,0.0,2,273,2.162113969726563,True,REGULAR,USD
MSFT250919C00310000,2025-08-22 14:22:10+00:00,310.0,198.86,199.35,202.3,0.0,0.0,6,110,1.97265638671875,True,REGULAR,USD
MSFT250919C00315000,2025-08-25 17:35:39+00:00,315.0,191.6,194.35,197.3,0.0,0.0,1,0,1.9165043237304689,True,REGULAR,USD
MSFT250919C00320000,2025-09-11 18:50:29+00:00,320.0,180.58,189.35,192.35,0.0,0.0,1,106,1.8696295581054687,True,REGULAR,USD
MSFT250919C00325000,2025-09-05 16:39:06+00:00,325.0,171.64,184.3,187.35,0.0,0.0,1,3,1.8071298706054684,True,REGULAR,USD
MSFT250919C00330000,2025-09-12 19:10:32+00:00,330.0,182.14,178.9,182.35,10.589996,6.1731253,2,291,1.6865250048828124,True,REGULAR,USD
MSFT250919C00340000,2025-08-20 18:26:22+00:00,340.0,166.27,168.95,172.35,0.0,0.0,64,54,1.5927754736328121,True,REGULAR,USD
MSFT250919C00350000,2025-09-12 18:51:56+00:00,350.0,160.8,159.6,162.35,14.070007,9.5890465,44,527,1.5859395703124997,True,REGULAR,USD
MSFT250919C00355000,2025-08-21 14:44:40+00:00,355.0,152.87,153.95,157.35,0.0,0.0,1,1,1.4438504370117187,True,REGULAR,USD
MSFT250919C00360000,2025-09-12 19:44:28+00:00,360.0,151.45,149.6,152.25,9.949997,7.0318,1,466,1.4711940502929686,True,REGULAR,USD
MSFT250919C00365000,2025-09-05 19:36:33+00:00,365.0,129.37,144.4,147.35,0.0,0.0,2,4,1.4086943627929687,True,REGULAR,USD
MSFT250919C00370000,2025-09-12 19:44:28+00:00,370.0,141.45,139.6,142.4,10.449997,7.9770966,45,695,1.3891632104492184,True,REGULAR,USD
MSFT250919C00375000,2025-09-12 19:31:31+00:00,375.0,136.45,134.0,137.4,17.43,14.644599,43,15,1.2666052294921872,True,REGULAR,USD
MSFT250919C00380000,2025-09-10 19:31:02+00:00,380.0,120.0,129.9,131.05,0.0,0.0,3,1044,1.1552776611328124,True,REGULAR,USD
MSFT250919C00385000,2025-09-11 19:07:54+00:00,385.0,116.6,124.35,127.4,0.0,0.0,11,21,1.2150918151855468,True,REGULAR,USD
MSFT250919C00390000,2025-09-12 19:10:32+00:00,390.0,121.16,119.9,122.4,10.230003,9.222035,8,1420,1.2236366943359376,True,REGULAR,USD
MSFT250919C00395000,2025-09-09 18:58:36+00:00,395.0,104.65,114.0,117.4,0.0,0.0,1,23,1.0815475610351561,True,REGULAR,USD
MSFT250919C00400000,2025-09-12 17:20:32+00:00,400.0,112.05,110.0,110.95,11.230003,11.138666,33,2406,0.9794923925781251,True,REGULAR,USD
MSFT250919C00405000,2025-09-09 15:04:56+00:00,405.0,95.23,104.65,107.4,0.0,0.0,4,17,1.056645341796875,True,REGULAR,USD
MSFT250919C00410000,2025-09-12 16:59:41+00:00,410.0,102.8,100.2,101.0,11.590004,12.706944,9,1720,0.9248054394531251,True,REGULAR,USD
MSFT250919C00415000,2025-09-12 16:40:45+00:00,415.0,96.05,94.4,95.85,9.870003,11.452776,17,52,0.73633076171875,True,REGULAR,USD
MSFT250919C00420000,2025-09-12 19:41:12+00:00,420.0,91.21,90.15,90.65,9.979996,12.286096,24,3224,0.7905294384765625,True,REGULAR,USD
MSFT250919C00425000,2025-09-12 19:21:00+00:00,425.0,87.27,83.95,86.05,10.599998,13.825483,6,89,0.5937540625000001,True,REGULAR,USD
MSFT250919C00430000,2025-09-12 19:51:16+00:00,430.0,81.15,79.95,80.65,9.849998,13.814863,40,3219,0.6826203613281252,True,REGULAR,USD
MSFT250919C00435000,2025-09-12 16:44:38+00:00,435.0,77.58,75.05,76.05,11.919998,18.154123,4,74,0.6999541723632813,True,REGULAR,USD
MSFT250919C00440000,2025-09-12 18:31:07+00:00,440.0,71.55,69.65,70.7,11.060001,18.284016,99,2201,0.56836369140625,True,REGULAR,USD
MSFT250919C00445000,2025-09-12 19:29:56+00:00,445.0,66.38,64.65,66.4,10.379997,18.53571,9,92,0.6113320117187502,True,REGULAR,USD
MSFT250919C00450000,2025-09-12 19:17:45+00:00,450.0,62.45,60.25,60.8,11.799999,23.297136,148,5361,0.5698285205078125,True,REGULAR,USD
MSFT250919C00455000,2025-09-12 15:23:00+00:00,455.0,56.0,54.2,56.25,10.330002,22.618792,6,92,0.6250037500000001,True,REGULAR,USD
MSFT250919C00460000,2025-09-12 18:21:25+00:00,460.0,51.9,50.3,51.05,10.800003,26.277382,21,1605,0.5092822509765625,True,REGULAR,USD
MSFT250919C00465000,2025-09-12 19:47:28+00:00,465.0,46.06,45.2,46.5,9.610001,26.364883,89,2087,0.5556685058593751,True,REGULAR,USD
MSFT250919C00470000,2025-09-12 19:16:20+00:00,470.0,42.6,39.65,41.45,11.599998,37.41935,70,3583,0.5026905200195313,True,REGULAR,USD
MSFT250919C00475000,2025-09-12 18:35:50+00:00,475.0,37.3,35.45,36.2,10.459999,38.97168,84,2506,0.43237872314453124,True,REGULAR,USD
MSFT250919C00480000,2025-09-12 19:43:02+00:00,480.0,31.51,30.5,30.95,9.460001,42.9025,147,2545,0.3627993408203125,True,REGULAR,USD
MSFT250919C00485000,2025-09-12 19:54:38+00:00,485.0,26.68,25.7,26.1,8.48,46.5934,79,1730,0.3282537878417968,True,REGULAR,USD
MSFT250919C00490000,2025-09-12 19:59:10+00:00,490.0,21.3,21.0,21.3,7.8999996,58.955223,314,2850,0.2933420275878905,True,REGULAR,USD
MSFT250919C00495000,2025-09-12 19:59:33+00:00,495.0,16.6,16.4,16.8,6.8,69.38776,601,2293,0.270515107421875,True,REGULAR,USD
MSFT250919C00500000,2025-09-12 19:59:28+00:00,500.0,12.38,12.25,12.4,5.78,87.57576,3428,10836,0.24158473266601563,True,REGULAR,USD
MSFT250919C00505000,2025-09-12 19:59:13+00:00,505.0,8.65,8.55,8.7,4.4999995,108.43372,5749,4836,0.22852333984375,True,REGULAR,USD
MSFT250919C00507500,2025-09-12 19:58:54+00:00,507.5,7.08,6.95,7.1,3.6799998,108.23529,4225,2578,0.2237016107177734,True,REGULAR,USD
MSFT250919C00510000,2025-09-12 19:59:55+00:00,510.0,5.65,5.55,5.65,3.25,135.41666,19342,13450,0.21851367431640623,False,REGULAR,USD
MSFT250919C00512500,2025-09-12 19:59:37+00:00,512.5,4.4,4.3,4.45,2.5,131.57895,8763,1303,0.21625539611816402,False,REGULAR,USD
MSFT250919C00515000,2025-09-12 19:59:43+00:00,515.0,3.37,3.35,3.4,2.0299997,151.49251,13929,8720,0.21302056518554688,False,REGULAR,USD
MSFT250919C00517500,2025-09-12 19:59:24+00:00,517.5,2.55,2.52,2.56,1.49,140.56606,3983,1926,0.21131159790039059,False,REGULAR,USD
MSFT250919C00520000,2025-09-12 19:59:51+00:00,520.0,1.92,1.88,1.92,1.1999999,166.66666,24602,13165,0.21161677062988277,False,REGULAR,USD
MSFT250919C00522500,2025-09-12 19:59:50+00:00,522.5,1.42,1.4,1.43,0.84,144.82758,8842,741,0.21289849609375,False,REGULAR,USD
MSFT250919C00525000,2025-09-12 19:59:54+00:00,525.0,1.04,1.03,1.06,0.62,147.61905,8072,14084,0.2148516015625,False,REGULAR,USD
MSFT250919C00527500,2025-09-12 19:59:14+00:00,527.5,0.77,0.76,0.78,0.45999998,148.38708,2919,786,0.21717091430664062,False,REGULAR,USD
MSFT250919C00530000,2025-09-12 19:59:49+00:00,530.0,0.57,0.56,0.58,0.33999997,147.82608,9433,34877,0.22071091796874998,False,REGULAR,USD
MSFT250919C00532500,2025-09-12 19:59:53+00:00,532.5,0.43,0.42,0.43,0.27,168.75002,2049,1484,0.22412885253906245,False,REGULAR,USD
MSFT250919C00535000,2025-09-12 19:59:50+00:00,535.0,0.33,0.32,0.33,0.18,120.00001,3629,6095,0.229499892578125,False,REGULAR,USD
MSFT250919C00537500,2025-09-12 19:59:54+00:00,537.5,0.25,0.25,0.26,0.13,108.333336,712,529,0.23584748535156247,False,REGULAR,USD
MSFT250919C00540000,2025-09-12 19:59:37+00:00,540.0,0.2,0.2,0.21,0.120000005,150.00002,2923,13101,0.24292749267578123,False,REGULAR,USD
MSFT250919C00542500,2025-09-12 19:58:06+00:00,542.5,0.17,0.16,0.17,0.1,142.85715,114,457,0.2500075,False,REGULAR,USD
MSFT250919C00545000,2025-09-12 19:46:05+00:00,545.0,0.15,0.13,0.16,0.09,150.00002,1452,12643,0.26270268554687504,False,REGULAR,USD
MSFT250919C00550000,2025-09-12 19:51:22+00:00,550.0,0.11,0.1,0.11,0.06,119.99999,1853,9447,0.27637442382812494,False,REGULAR,USD
MSFT250919C00555000,2025-09-12 19:18:17+00:00,555.0,0.09,0.08,0.09,0.050000004,125.000015,647,2408,0.295905478515625,False,REGULAR,USD
MSFT250919C00560000,2025-09-12 19:53:52+00:00,560.0,0.08,0.07,0.09,0.04,100.0,779,4736,0.3232489550781249,False,REGULAR,USD
MSFT250919C00565000,2025-09-12 19:58:57+00:00,565.0,0.06,0.07,0.08,0.03,100.0,385,3077,0.3437565625,False,REGULAR,USD
MSFT250919C00570000,2025-09-12 19:59:34+00:00,570.0,0.07,0.06,0.08,0.05,250.0,4210,4664,0.36914693359375,False,REGULAR,USD
MSFT250919C00575000,2025-09-12 19:51:22+00:00,575.0,0.06,0.06,0.07,0.03,100.0,296,3575,0.38867798828125,False,REGULAR,USD
MSFT250919C00580000,2025-09-12 19:33:35+00:00,580.0,0.06,0.05,0.06,0.04,200.0,54,2092,0.40430283203125,False,REGULAR,USD
MSFT250919C00585000,2025-09-12 19:50:52+00:00,585.0,0.06,0.05,0.06,0.04,200.0,272,11810,0.42774009765625004,False,REGULAR,USD
MSFT250919C00590000,2025-09-12 19:26:06+00:00,590.0,0.05,0.04,0.06,0.030000001,150.00002,166,2677,0.45117736328125,False,REGULAR,USD
MSFT250919C00595000,2025-09-12 18:02:24+00:00,595.0,0.04,0.05,0.06,0.03,300.0,118,832,0.47461462890625,False,REGULAR,USD
MSFT250919C00600000,2025-09-12 19:50:56+00:00,600.0,0.04,0.03,0.05,0.03,300.0,1586,7864,0.48828636718750007,False,REGULAR,USD
MSFT250919C00605000,2025-09-12 19:46:53+00:00,605.0,0.04,0.04,0.05,0.02,100.0,355,822,0.5039112109375,False,REGULAR,USD
MSFT250919C00610000,2025-09-12 19:52:03+00:00,610.0,0.04,0.03,0.04,0.03,300.0,196,553,0.5117236328125,False,REGULAR,USD
MSFT250919C00615000,2025-09-12 18:54:32+00:00,615.0,0.03,0.03,0.06,0.02,200.0,383,878,0.5468795312500001,False,REGULAR,USD
MSFT250919C00620000,2025-09-12 19:33:29+00:00,620.0,0.03,0.03,0.04,0.01,50.0,519,1099,0.55273884765625,False,REGULAR,USD
MSFT250919C00625000,2025-09-12 18:28:04+00:00,625.0,0.03,0.03,0.04,0.02,200.0,126,1399,0.5742230078125,False,REGULAR,USD
MSFT250919C00630000,2025-09-12 19:55:04+00:00,630.0,0.03,0.02,0.03,0.02,200.0,115,489,0.5742230078125,False,REGULAR,USD
MSFT250919C00635000,2025-09-12 19:54:03+00:00,635.0,0.03,0.02,0.05,0.02,200.0,272,265,0.6132851171875001,False,REGULAR,USD
