contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSTR250919C00005000,2025-09-12 16:29:56+00:00,5.0,326.0,324.85,328.2,4.8099976,1.4975551,19.0,6447,12.812501992187501,True,REGULAR,USD
MSTR250919C00010000,2025-09-10 14:39:17+00:00,10.0,327.47,319.55,323.15,0.0,0.0,1.0,161,16.64844229736328,True,REGULAR,USD
MSTR250919C00015000,2025-08-11 15:29:08+00:00,15.0,395.94,0.0,0.0,0.0,0.0,3.0,17,1.0000000000000003e-05,True,REGULAR,USD
MSTR250919C00020000,2025-08-11 15:32:53+00:00,20.0,392.04,0.0,0.0,0.0,0.0,,13,1.0000000000000003e-05,True,REGULAR,USD
MSTR250919C00025000,2025-08-28 18:42:06+00:00,25.0,313.38,304.6,308.5,0.0,0.0,1.0,4,7.687500390625001,True,REGULAR,USD
MSTR250919C00030000,2025-06-27 15:14:01+00:00,30.0,363.95,374.9,377.4,0.0,0.0,8.0,16,0.0,True,REGULAR,USD
MSTR250919C00035000,2024-10-02 16:48:42+00:00,35.0,140.5,196.55,200.4,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
MSTR250919C00040000,2025-08-19 17:50:14+00:00,40.0,300.63,289.6,293.5,0.0,0.0,41.0,90,6.242189697265625,True,REGULAR,USD
MSTR250919C00045000,2025-08-13 17:16:13+00:00,45.0,344.74,284.6,288.5,0.0,0.0,20.0,24,5.890627636718751,True,REGULAR,USD
MSTR250919C00050000,2025-09-12 18:49:04+00:00,50.0,282.0,279.95,283.3,-0.8999939,-0.31813145,13.0,4984,5.9062526171875005,True,REGULAR,USD
MSTR250919C00055000,2025-09-08 14:00:03+00:00,55.0,273.55,274.6,278.55,0.0,0.0,1.0,16,5.406253242187499,True,REGULAR,USD
MSTR250919C00060000,2025-08-25 19:58:41+00:00,60.0,283.65,269.6,273.55,0.0,0.0,17.0,136,5.1484410644531255,True,REGULAR,USD
MSTR250919C00065000,2025-07-24 18:36:37+00:00,65.0,351.81,292.5,294.55,0.0,0.0,20.0,25,16.009770621948242,True,REGULAR,USD
MSTR250919C00070000,2025-08-08 14:33:06+00:00,70.0,338.6,264.7,267.65,0.0,0.0,3.0,31,8.320317299804687,True,REGULAR,USD
MSTR250919C00075000,2025-09-10 14:03:02+00:00,75.0,264.15,254.65,258.55,0.0,0.0,2.0,32,4.570316787109375,True,REGULAR,USD
