contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA250919C00005000,2025-09-12 18:09:25+00:00,5.0,172.61,172.25,173.0,0.009994507,0.00579056,57.0,9918.0,12.640627099609375,True,REGULAR,USD
NVDA250919C00010000,2025-09-12 18:10:28+00:00,10.0,167.63,166.6,168.1,0.070007324,0.041780453,19.0,49.0,10.523440922851565,True,REGULAR,USD
NVDA250919C00015000,2025-09-12 17:37:29+00:00,15.0,163.27,162.55,163.7,1.5700073,0.9709383,1.0,2.0,9.023441860351562,True,REGULAR,USD
NVDA250919C00020000,2025-09-12 19:06:31+00:00,20.0,157.9,157.05,158.65,-0.22000122,-0.13913561,16.0,310.0,6.0312524609375,True,REGULAR,USD
NVDA250919C00025000,2025-09-11 15:18:09+00:00,25.0,153.25,151.65,153.9,0.0,0.0,37.0,217.0,8.753910778808592,True,REGULAR,USD
NVDA250919C00030000,2025-09-10 19:02:47+00:00,30.0,146.42,146.75,148.6,0.0,0.0,261.0,51.0,7.455078806152344,True,REGULAR,USD
NVDA250919C00035000,2025-09-10 13:30:46+00:00,35.0,141.05,141.7,143.7,0.0,0.0,3.0,438.0,6.957032553710938,True,REGULAR,USD
NVDA250919C00039000,2025-09-10 14:56:27+00:00,39.0,139.13,138.25,139.95,-0.6199951,-0.4436459,1.0,171.0,5.414065732421873,True,REGULAR,USD
NVDA250919C00040000,2025-09-12 14:53:48+00:00,40.0,138.25,136.85,138.4,0.16000366,0.11586913,3.0,659.0,5.9492213134765635,True,REGULAR,USD
NVDA250919C00041000,2025-09-10 18:15:34+00:00,41.0,136.25,136.55,137.25,0.0,0.0,8.0,82.0,4.484379394531249,True,REGULAR,USD
NVDA250919C00042000,2025-09-11 13:52:27+00:00,42.0,135.95,135.55,136.35,0.0,0.0,10.0,163.0,4.6640666699218745,True,REGULAR,USD
NVDA250919C00043000,2025-09-05 14:23:20+00:00,43.0,121.48,134.5,135.5,0.0,0.0,3.0,42.0,4.7812540234375,True,REGULAR,USD
NVDA250919C00044000,2025-06-20 19:26:09+00:00,44.0,100.07,127.0,130.2,0.0,0.0,1.0,6.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA250919C00045000,2025-09-11 18:03:32+00:00,45.0,132.1,132.5,133.5,0.0,0.0,10.0,398.0,4.632816708984375,True,REGULAR,USD
NVDA250919C00046000,2025-09-05 18:43:54+00:00,46.0,120.56,131.0,132.4,0.0,0.0,1.0,48.0,5.406253242187499,True,REGULAR,USD
NVDA250919C00047000,2025-09-05 19:00:05+00:00,47.0,119.47,130.55,131.15,0.0,0.0,2.0,52.0,3.6875007812500002,True,REGULAR,USD
NVDA250919C00048000,2025-09-11 19:38:24+00:00,48.0,129.25,129.35,130.25,0.0,0.0,15.0,1707.0,5.000003749999999,True,REGULAR,USD
NVDA250919C00049000,2025-08-22 16:20:07+00:00,49.0,128.74,128.4,130.2,0.0,0.0,1.0,77.0,5.007816240234375,True,REGULAR,USD
NVDA250919C00050000,2025-09-12 17:55:13+00:00,50.0,127.64,127.4,129.0,0.40000153,0.31436774,33.0,1361.0,4.757816552734374,True,REGULAR,USD
NVDA250919C00052000,2025-09-05 19:35:19+00:00,52.0,115.39,125.0,126.2,0.0,0.0,4.0,205.0,4.619144851074219,True,REGULAR,USD
NVDA250919C00054000,2025-09-09 19:50:00+00:00,54.0,116.25,122.8,125.25,0.0,0.0,1.0,101.0,4.10937986328125,True,REGULAR,USD
NVDA250919C00055000,2025-09-12 18:33:37+00:00,55.0,122.7,121.9,123.75,10.849998,9.700491,13.0,806.0,2.750003125,True,REGULAR,USD
NVDA250919C00056000,2025-07-22 13:39:04+00:00,56.0,113.1,0.0,0.0,0.0,0.0,5.0,190.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA250919C00058000,2025-09-03 14:10:11+00:00,58.0,113.71,119.0,120.65,0.0,0.0,20.0,183.0,2.68750328125,True,REGULAR,USD
NVDA250919C00060000,2025-09-12 18:38:04+00:00,60.0,117.75,117.3,118.8,0.83999634,0.7184983,1.0,500.0,3.82031294921875,True,REGULAR,USD
