contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250915C00570000,2025-09-12 17:50:54+00:00,570.0,87.85,86.08,88.85,1.0,1.1514105,7,1,0.7500025,True,REGULAR,USD
SPY250915C00575000,2025-09-12 19:31:01+00:00,575.0,83.19,81.09,83.85,4.100006,5.1839757,1,2,0.7148466015625,True,REGULAR,USD
SPY250915C00590000,2025-09-12 16:12:29+00:00,590.0,67.82,66.1,68.86,0.30999756,0.45918763,289,15,0.6015664843750002,True,REGULAR,USD
SPY250915C00600000,2025-09-12 19:50:26+00:00,600.0,58.22,56.1,58.88,0.22000122,0.37931246,704,13,0.5273484765625001,True,REGULAR,USD
SPY250915C00605000,2025-09-12 19:26:18+00:00,605.0,53.18,51.11,53.87,0.52000046,0.98746765,7,2,0.8139667041015625,True,REGULAR,USD
SPY250915C00610000,2025-09-12 20:01:06+00:00,610.0,47.41,46.12,48.88,8.259998,21.098335,14,31,0.7534204345703125,True,REGULAR,USD
SPY250915C00614000,2025-09-12 17:11:31+00:00,614.0,43.98,42.12,44.89,-0.3199997,-0.72234696,2,1,0.7048369360351563,True,REGULAR,USD
SPY250915C00615000,2025-09-12 19:08:11+00:00,615.0,43.86,41.13,43.9,0.5699997,1.3167006,28,60,0.6936065795898438,True,REGULAR,USD
SPY250915C00620000,2025-09-12 20:00:53+00:00,620.0,37.49,36.14,38.91,-0.37999725,-1.0034256,5,32,0.6315954809570312,True,REGULAR,USD
SPY250915C00622000,2025-09-12 16:21:40+00:00,622.0,35.42,34.14,36.92,7.249998,25.736591,15,6,0.6071816625976563,True,REGULAR,USD
SPY250915C00623000,2025-09-12 19:56:54+00:00,623.0,34.96,33.14,35.92,9.059999,34.980694,2,2,0.5943644079589845,True,REGULAR,USD
SPY250915C00625000,2025-09-12 19:34:13+00:00,625.0,32.85,31.15,33.92,-0.37000275,-1.1137952,53,19,0.5686078295898438,True,REGULAR,USD
SPY250915C00629000,2025-09-12 19:39:08+00:00,629.0,28.65,27.16,29.93,-0.069999695,-0.24373154,31,30,0.51758294921875,True,REGULAR,USD
SPY250915C00630000,2025-09-12 18:39:39+00:00,630.0,28.95,27.47,27.6,1.1500015,4.136696,3,49,0.31201859863281245,True,REGULAR,USD
SPY250915C00631000,2025-09-11 13:30:51+00:00,631.0,23.49,26.47,26.61,0.0,0.0,1,5,0.3051827294921875,True,REGULAR,USD
SPY250915C00632000,2025-09-12 18:29:58+00:00,632.0,26.63,25.48,25.61,0.5,1.9135095,4,11,0.2954172021484375,True,REGULAR,USD
SPY250915C00634000,2025-09-12 20:14:59+00:00,634.0,23.6,23.6,23.62,2.0100002,9.309867,954,6,0.278327529296875,True,REGULAR,USD
SPY250915C00635000,2025-09-12 19:22:26+00:00,635.0,23.69,22.49,22.62,0.25,1.0665529,117,227,0.26856200195312496,True,REGULAR,USD
SPY250915C00636000,2025-09-12 19:41:55+00:00,636.0,21.27,21.49,21.62,-0.77000046,-3.49365,14,5,0.25830819824218754,True,REGULAR,USD
SPY250915C00637000,2025-09-11 15:32:26+00:00,637.0,20.61,20.5,20.63,-0.44999886,-2.136747,2,34,0.25049577636718745,True,REGULAR,USD
SPY250915C00638000,2025-09-12 20:14:36+00:00,638.0,19.58,19.5,19.63,-0.39999962,-2.002,18,51,0.24073024902343748,True,REGULAR,USD
SPY250915C00639000,2025-09-12 20:14:36+00:00,639.0,18.58,18.51,18.64,-0.5100002,-2.671557,77,97,0.23242955078125,True,REGULAR,USD
SPY250915C00640000,2025-09-12 20:03:55+00:00,640.0,17.55,17.51,17.64,-0.32999992,-1.8456373,723,707,0.22217574707031246,True,REGULAR,USD
SPY250915C00641000,2025-09-12 19:30:58+00:00,641.0,17.28,16.52,16.65,0.25,1.4679976,419,299,0.21363091064453127,True,REGULAR,USD
SPY250915C00642000,2025-09-12 19:39:08+00:00,642.0,15.69,15.52,15.65,-0.53999996,-3.3271718,70,42,0.20313296874999998,True,REGULAR,USD
SPY250915C00643000,2025-09-12 19:50:35+00:00,643.0,15.19,14.53,14.66,-0.22000027,-1.4276462,55,176,0.194343994140625,True,REGULAR,USD
SPY250915C00644000,2025-09-12 19:16:20+00:00,644.0,14.71,13.54,13.67,2.12,16.838758,103,609,0.18531088134765622,True,REGULAR,USD
SPY250915C00645000,2025-09-12 20:09:25+00:00,645.0,12.57,12.55,12.68,-0.8500004,-6.333833,161,1278,0.1757894921875,True,REGULAR,USD
SPY250915C00646000,2025-09-12 20:10:59+00:00,646.0,11.61,11.56,11.69,-1.04,-8.221344,268,525,0.1662681030273438,True,REGULAR,USD
SPY250915C00647000,2025-09-12 20:11:44+00:00,647.0,10.65,10.58,10.7,-0.97000027,-8.347679,345,930,0.1562584375,True,REGULAR,USD
SPY250915C00648000,2025-09-12 20:12:04+00:00,648.0,9.63,9.6,9.72,-0.47999954,-4.74777,518,804,0.147469462890625,True,REGULAR,USD
SPY250915C00649000,2025-09-12 19:55:32+00:00,649.0,9.39,8.62,8.74,-0.15999985,-1.675391,219,1448,0.13794807373046875,True,REGULAR,USD
SPY250915C00650000,2025-09-12 20:09:44+00:00,650.0,7.68,7.65,7.76,-0.74000025,-8.788601,851,3511,0.127938408203125,True,REGULAR,USD
SPY250915C00651000,2025-09-12 20:10:59+00:00,651.0,6.69,6.68,6.79,-0.94000006,-12.319791,897,1084,0.11841701904296875,True,REGULAR,USD
SPY250915C00652000,2025-09-12 20:09:56+00:00,652.0,5.8,5.73,5.84,-0.5899997,-9.233172,1086,1217,0.1098721826171875,True,REGULAR,USD
SPY250915C00653000,2025-09-12 20:14:20+00:00,653.0,4.82,4.8,4.9,-0.73,-13.153153,1415,1286,0.10083906982421875,True,REGULAR,USD
SPY250915C00654000,2025-09-12 20:14:44+00:00,654.0,3.91,3.89,3.95,-0.6899998,-14.999996,2009,2034,0.08973078247070312,True,REGULAR,USD
SPY250915C00655000,2025-09-12 20:14:22+00:00,655.0,3.03,3.03,3.1,-0.8299999,-21.502588,6913,4488,0.08350525878906252,True,REGULAR,USD
SPY250915C00656000,2025-09-12 20:14:30+00:00,656.0,2.22,2.24,2.28,-0.80999994,-26.732672,10344,1348,0.07569283691406252,True,REGULAR,USD
SPY250915C00657000,2025-09-12 20:14:59+00:00,657.0,1.54,1.54,1.56,-0.78999996,-33.90558,47618,2405,0.06934524414062501,True,REGULAR,USD
SPY250915C00658000,2025-09-12 20:15:00+00:00,658.0,0.96,0.96,0.98,-0.78000003,-44.827587,118926,2609,0.06446248046875,False,REGULAR,USD
SPY250915C00659000,2025-09-12 20:14:54+00:00,659.0,0.55,0.55,0.56,-0.7,-56.0,93509,3313,0.06116661499023439,False,REGULAR,USD
SPY250915C00660000,2025-09-12 20:14:59+00:00,660.0,0.3,0.29,0.3,-0.55,-64.70589,61842,8299,0.05982385498046875,False,REGULAR,USD
SPY250915C00661000,2025-09-12 20:14:59+00:00,661.0,0.15,0.15,0.16,-0.4,-72.72727,28006,3813,0.060556269531250005,False,REGULAR,USD
SPY250915C00662000,2025-09-12 20:14:54+00:00,662.0,0.08,0.08,0.09,-0.26999998,-77.14285,16546,2179,0.06275351318359376,False,REGULAR,USD
SPY250915C00663000,2025-09-12 20:14:57+00:00,663.0,0.05,0.04,0.05,-0.17,-77.27273,13574,4256,0.0649507568359375,False,REGULAR,USD
SPY250915C00664000,2025-09-12 20:14:50+00:00,664.0,0.02,0.02,0.03,-0.120000005,-85.71429,5898,1146,0.06836869140625002,False,REGULAR,USD
SPY250915C00665000,2025-09-12 20:14:31+00:00,665.0,0.02,0.01,0.02,-0.06,-75.0,9488,2953,0.07227490234375,False,REGULAR,USD
SPY250915C00670000,2025-09-12 20:03:55+00:00,670.0,0.01,0.0,0.01,-0.01,-50.0,1260,2669,0.10157148437499999,False,REGULAR,USD
SPY250915C00675000,2025-09-12 15:07:38+00:00,675.0,0.01,0.0,0.01,0.0,0.0,125,5419,0.13672738281250002,False,REGULAR,USD
