ticker,current_recommendation,strategy_total_trades,strategy_win_rate,strategy_avg_trade_ret_x,strategy_total_trade_profit_pct,strategy_total_return,strategy_CAGR,strategy_Sharpe,strategy_max_drawdown,2020_return_pct,2021_return_pct,2022_return_pct,2023_return_pct,2024_return_pct,2025_return_pct,bt_years,bt_dte,bt_moneyness,bt_alloc_frac,bt_trend_filter,bt_vol_filter,bt_time_stop_frac,bt_time_stop_mult,bt_use_target_delta,bt_target_delta,bt_trail_start_mult,bt_trail_back,bt_protect_mult,bt_cooldown_days,bt_entry_weekdays,bt_skip_earnings,bt_use_underlying_atr_exits,bt_tp_atr_mult,bt_sl_atr_mult,bt_vol_spike_mult,bt_plock1_level,bt_plock1_floor,bt_plock2_level,bt_plock2_floor,bt_tp_x,bt_sl_x
KTOS,SELL,197,0.7208121827411168,2.718578916015247,171.8578916015247,1.0270627767371224e+24,10001.447925541155,0.8016451890755907,-0.2820922802142726,48.91422470989817,-26.431554792873303,-47.48091656402737,102.29313515162804,33.50201849799965,227.06596483754242,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
AAPL,SELL,199,0.6231155778894473,10.325100367667545,932.5100367667545,8.549850857822149e+27,44997.876789620765,0.43781174023767927,-0.756213524942311,76.71383352084852,37.21505470926001,-28.613814297488293,53.93779423449088,34.89549611736806,-4.010661691410911,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
MSFT,SELL,205,0.6634146341463415,15.12681949867498,1412.681949867498,2.366849564831698e+29,78244.73101251437,0.437611937701414,-0.48283162002552593,38.47590893441932,54.494925606307135,-28.358474287014566,56.95801221760366,13.651685374767087,21.81662053937039,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
NVDA,SELL,186,0.7634408602150538,2.4102170161454795,141.02170161454794,1.6914638017824346e+27,34352.624501368904,1.948133843351869,-0.2645030772999243,117.66496984105746,124.28032258606434,-51.48235390666422,245.94481879687802,178.79504095683583,28.566271754062434,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
GOOGL,SELL,214,0.6261682242990654,2.063704615428789,106.37046154287886,2.9805957539239552e+23,8138.508576839142,1.0067343015772627,-0.3873137960092159,28.053315905929033,67.83440351912236,-39.14815500428692,56.743714246310105,37.005142621695676,33.046512444657395,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
AMZN,SELL,208,0.6778846153846154,2.2659705725185346,126.59705725185346,2.9483996689641362e+22,5535.328168833136,0.9195477312910127,-0.4155764682206373,71.59709483183182,4.635303236972321,-50.70552576558551,77.04498133500893,46.32829327489678,4.999543386525462,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
META,SELL,201,0.7412935323383084,19.12367833413611,1812.367833413611,2.9344633946063657e+29,81097.57518260377,0.4263894566626497,-0.31427219106960014,30.212606183439195,25.065071410042815,-64.4532423641378,183.75821510085584,69.08082685546808,30.2065971422949,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
AVGO,SELL,198,0.7323232323232324,2.5471872691977846,154.71872691977845,4.2532301095063063e+27,40056.58818024657,1.4120721836553283,-0.2946536017637392,35.8137721475851,56.48605749748788,-15.707354546696738,101.67847232359506,113.60260188652096,48.870597665296046,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
LLY,SELL,203,0.6650246305418719,4.66007260256674,366.00726025667404,4.212424173362526e+27,39992.30715906613,0.6264277692845758,-0.43317359078411855,27.705913141127915,66.90030285238859,34.63363689934771,59.7084847548393,30.36136171677606,-1.9458422129011166,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
TSLA,SELL,179,0.8547486033519553,3.292615333940572,229.2615333940572,8.771366678551492e+32,307612.41608571354,1.633697796936125,-0.17688609683593748,720.0506467423963,44.810011799597646,-69.19935310711031,129.8612388852389,62.56340041643804,9.905612593634494,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
JPM,SELL,200,0.56,6.214310539213918,521.4310539213918,2.1493116423855373e+23,7706.999999766682,0.49383604451023394,-0.6590967351291729,-9.936917575283289,25.80440347040158,-17.068640300321658,25.88810853344874,39.30149009947741,30.512504577636722,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
UNH,SELL,208,0.625,11.510014790321131,1051.0014790321131,5.870486136628863e+36,1334489.2244490513,0.7794679503819982,-0.5439296933586488,19.89059578659189,43.673823933744636,5.5546694999383694,1.5097092074538576,-6.207594437057828,-33.634615598655294,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
V,SELL,213,0.5821596244131455,3.1387908544281724,213.87908544281723,5.584045628898069e+23,9035.878125837422,0.5846957388119958,-0.6474454820285767,14.44642178513147,-0.48217662539286055,-6.173507935287237,25.53643226275577,22.084449532999816,7.563612990121871,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
MA,SELL,212,0.6273584905660378,6.2417216166630345,524.1721616663034,9.411050282534525e+26,31155.918451776095,0.6101428672614055,-0.4526279937186821,17.650543922818773,2.2276643168764654,-6.25960384326495,22.984436210603686,24.812152229535812,12.184142496987382,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
COST,SELL,204,0.6176470588235294,3.939612560056674,293.9612560056674,1.4810761434519271e+29,72366.5596771512,0.9379543714556493,-0.6642351548221652,29.260012831433336,49.335794113314414,-19.447339503371953,45.623018634722136,40.82378931075725,4.676799321523006,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
WMT,SELL,214,0.5700934579439252,640.8525622373468,63985.25622373468,1.1724491089929365e+50,219300844.43761843,0.5024647557827026,-0.5967728291795229,21.195556374899738,-1.2557182383893362,-1.9771893500721172,9.7841163025703,70.16133302363616,15.111109415690095,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
HD,SELL,212,0.5849056603773585,3979.689938770925,397868.9938770925,9.958789405671092e+35,993029.8764408103,0.40910420242873075,-0.5999317513420238,20.923240776129546,57.248404308399124,-22.704587404808073,9.698959759321601,12.724587159711698,7.47052982793619,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
NFLX,SELL,196,0.7040816326530612,2.3370794807955626,133.70794807955625,3.584642597123131e+24,12316.989148117009,1.2534408338728225,-0.4100269220202962,63.95196763939346,15.220139104034791,-50.636957447960675,65.07204093318084,90.24973475436899,36.206066773383384,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
AMD,SELL,206,0.7864077669902912,2.142264854074617,114.22648540746172,6.065060722576688e+24,13444.821016430613,1.7957048578013894,-0.17522544634738058,86.78208133307747,55.90464695411932,-56.88898144641412,130.25618774079456,-12.837350758023113,30.912709744317567,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
CRM,SELL,208,0.6730769230769231,59.576424060081344,5857.6424060081345,6.2645011747730145e+34,626373.5825029653,0.4354089654257105,-0.3586128191088026,33.2594715007698,15.351099677273595,-48.09755231612416,95.2366946369624,30.531363057300553,-26.12351174201323,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
ORCL,SELL,194,0.6030927835051546,2.289035674031467,128.90356740314667,6.785834197546638e+20,2952.583407903414,1.1494071426499999,-0.4605059091135567,19.907324423699645,36.799998563878674,-7.00796763956345,25.931675546970713,60.13838487341627,78.6544584099428,6,30,0.0,0.95,False,False,0.4,1.05,True,0.2,1.15,0.35,0.9,5,,True,False,1.5,1.0,1.3,1.08,1.04,1.25,1.12,50.0,0.05
